Feature,Frequency
INO80,1
ZEB2,1
ACTN4,1
AL645730.2,1
CAD,1
CES2,1
TADA1,1
CGB7,1
STAT5B,1
COQ9,1
DDB1,1
RP11-514P8.6,1
ELOF1,1
FMNL2,1
FUT11,1
RP11-368I7.4,1
GJC1,1
ZNF853,1
USO1,1
LCN2,1
STS,1
LSR,1
MFN2,1
MROH7,1
NOL3,1
C17orf89,1
NOS2,1
OR5B17,1
VTCN1,1
PRKRIP1,1
RPL5,1
TTLL5,1
TRIB2,1
SCO2,1
SLC25A38,1
SLX4IP,1
CCDC42,1
CEACAM18,1
TCEA2,1
ARID3B,1
C11orf88,1
COMMD8,1
CT47A10,1
EXOC5,1
FAM122B,1
PPM1E,1
FAM19A4,1
FOXP1,1
PNPO,1
HRNR,1
HSPG2,1
PLBD2,1
PTS,1
PYCARD,1
OPN1SW,1
ARPC4,1
ANKRD65,1
NUBPL,1
AGK,1
HHLA2,1
JAZF1,1
NUDT16,1
NUDT21,1
PIKFYVE,1
RFC2,1
SALL1,1
SLC35A5,1
SPERT,1
USP14,1
XRN2,1
XYLT2,1
PSMD6,1
ZNF608,1
AC007773.3,1
RIMBP2,1
MC2R,1
GJB7,1
COX14,1
CTD-2528L19.4,1
FAM163A,1
KIAA1731,1
LRCH4,1
MAGEA11,1
NCDN,1
ORAI1,1
RASSF5,1
DAGLB,1
SH3BP5L,1
SLC26A4,1
SOWAHC,1
SP110,1
SST,1
CIB4,1
COX8C,1
EGFR,1
RNFT1,1
CINP,1
SCLT1,1
LGR6,1
ST3GAL5,1
SUPT16H,1
TNNI3,1
KLHL35,1
VCPIP1,1
VPS26A,1
KIAA1407,1
XKR8,1
GM2A,1
AATF,1
AC027763.2,1
AGAP2,1
AKAP8L,1
RNF185,1
FBXL2,1
CEACAM8,1
MAGEB16,1
CORO1A,1
ZC3H10,1
S100A7,1
SDCBP2,1
TMEM53,1
TESPA1,1
SPRY3,1
SYT13,1
TBP,1
TNNT2,1
WDR38,1
XRCC4,1
AC106876.2,1
ACD,1
ANKS6,1
NDUFA11,1
LILRB5,1
DCTN6,1
KRTAP9-4,1
CHODL,1
DDX21,1
DKFZP434A062,1
FAM102A,1
FAXDC2,1
FKBP5,1
ECHDC2,1
GPR115,1
IFT57,1
ITGA7,1
DYNC2LI1,1
CYP2J2,1
CYP11B2,1
KIAA0226,1
CREB3L2,1
CA1,1
TEKT5,1
DICER1,1
SLAIN2,1
WDR17,1
WWC1,1
ZCCHC2,1
AGA,1
AL589765.1,1
BHLHB9,1
C14orf64,1
C16orf71,1
C3orf17,1
ITGB1BP1,1
CCDC144A,1
RP11-826N14.2,1
CSTA,1
CSTB,1
DEPTOR,1
VCY1B,1
THBS3,1
DCX,1
SLC6A9,1
DYM,1
FAM115A,1
SUPT5H,1
KLHL18,1
MT1M,1
MUC20,1
NKX2-1,1
PITPNA,1
PRPSAP2,1
PRUNE,1
STMN2,1
RP1-27O5.3,1
SIGLECL1,1
SLAIN1,1
SLC4A4,1
C5orf64,1
AWAT2,1
LILRA6,1
FEM1C,1
TIMP4,1
ZNF780A,1
ZNF788,1
C2orf44,1
C3orf49,1
CD5,1
CHERP,1
FAM193B,1
GNPNAT1,1
ACTR8,1
GPX2,1
IFNAR1,1
ISL1,1
ITIH1,1
MIIP,1
NOX4,1
OR2A7,1
OR8J1,1
TAF1B,1
SLCO4A1,1
SLC6A4,1
RNF43,1
AL441883.1,1
C9orf173,1
CCDC159,1
CMC2,1
CNTNAP3,1
DPYSL3,1
E4F1,1
FBXO39,1
FIBIN,1
GOLGA8K,1
HTR7,1
KAAG1,1
OR10H2,1
PCNA,1
PFKFB1,1
PHYKPL,1
PLA2G7,1
PBX1,1
PLS1,1
PNN,1
GPR63,1
HAMP,1
IL12RB2,1
KLHL33,1
LRRC4B,1
LZIC,1
NARFL,1
NUPL2,1
TTC7A,1
UBXN7,1
USP1,1
VAT1L,1
ZNF254,1
AC073657.1,1
BRD3,1
BRF2,1
C10orf54,1
COL11A1,1
GTF3C5,1
GCNT3,1
RAB14,1
DNA2,1
RP11-159G9.5,1
RP11-422N16.3,1
RSPO3,1
SKIV2L2,1
TCEAL5,1
TWIST1,1
ZAR1L,1
ZFP92,1
AARS2,1
AP003774.4,1
ARFGAP2,1
CCDC104,1
CCDC40,1
CDKN2AIP,1
CLINT1,1
CUEDC1,1
DAD1,1
AL035406.1,1
ZNF862,1
LSG1,1
AC026740.1,1
MYOZ3,1
OXTR,1
POLR2K,1
RSU1,1
SENP5,1
SNX29,1
SSBP1,1
ZC3H12C,1
ADI1,1
ZBTB42,1
ANK2,1
ASB13,1
ASH2L,1
C4orf40,1
CLDN8,1
COL3A1,1
CTD-2207O23.3,1
CTD-2287O16.3,1
MCM3AP,1
KLHL20,1
HSF2BP,1
GRB7,1
USP8,1
ZNF408,1
AP001631.10,1
ARIH1,1
C22orf39,1
CDK5RAP2,1
CLN8,1
COL4A4,1
CTAGE9,1
CTC-360G5.8,1
CYP2A7,1
DLG3,1
DSPP,1
FLT4,1
G2E3,1
GOLGA8S,1
GOLT1B,1
DDX3Y,1
ENPP4,1
FAM209B,1
E2F7,1
HIST1H4F,1
INMT,1
KIR2DL1,1
KLF1,1
LGALS1,1
MTHFS,1
NHLRC4,1
OR7D4,1
PHF6,1
RP11-362K2.2,1
RPA2,1
SETD4,1
SMIM5,1
TPI1,1
TTLL3,1
TUBB4B,1
TUFM,1
EREG,1
CTXN3,1
HDAC11,1
COL9A1,1
IGSF6,1
ISX,1
LYPD5,1
MRPL12,1
NDUFA13,1
NOP14,1
PMF1,1
QTRTD1,1
SAG,1
SLC2A12,1
TIGD4,1
ZFP14,1
ANKRD40,1
ANKRD53,1
AP001350.1,1
ATP6V1C2,1
CHRD,1
DACT1,1
EPHB6,1
FADS6,1
AACS,1
PLEKHA1,1
PRSS56,1
RNASEH1,1
SYCN,1
TIMMDC1,1
UBE2G2,1
ZG16B,1
ZNF776,1
APOA1BP,1
FRS2,1
BEST1,1
BZRAP1,1
C7orf60,1
CCL4L1,1
CNDP2,1
COMMD3,1
CXCR5,1
EPB41L4A,1
PHF20L1,1
OVCH1,1
OR52N2,1
OR10A2,1
WNK2,1
XRCC6BP1,1
AC006156.1,1
BTN3A2,1
C14orf105,1
C19orf59,1
C5orf30,1
C5orf45,1
C6orf203,1
CTD-2117L12.1,1
DST,1
GLG1,1
ITPR3,1
MAP1A,1
MTNR1A,1
NMT2,1
NUDT6,1
FAM65C,1
IGFL2,1
LYPD6,1
GPR6,1
IFI6,1
LBP,1
LIMS3,1
LSM5,1
MORN4,1
MTFMT,1
OSER1,1
PNMAL1,1
PPP1R1A,1
PRNT,1
RERE,1
RPTOR,1
SMIM22,1
SPAG11B,1
TP53TG3C,1
TRPV2,1
ZNF441,1
GSTT1,1
GDI2,1
MPPED1,1
GAD2,1
PRSS8,1
PTPRA,1
RRAGB,1
SAP25,1
SLC10A2,1
SLC25A53,1
SNTB1,1
ST6GALNAC3,1
STAT6,1
TMEM218,1
ZNF562,1
ZNF705A,1
AES,1
ALDOC,1
AQP5,1
DPYSL2,1
DSG1,1
VGLL1,1
TSPAN7,1
TIE1,1
CKM,1
IFRD1,1
IGF1,1
IP6K2,1
NDP,1
OR1A1,1
OTUB1,1
PPFIA3,1
RAB11FIP3,1
SNURF,1
SPIC,1
STOML3,1
TOX,1
UBB,1
ZFP82,1
ZSCAN30,1
ACE,1
ANAPC16,1
FOXR2,1
CD37,1
CALCRL,1
CBX7,1
HACE1,1
HEATR2,1
HOXB1,1
IFNA8,1
ITFG3,1
MBD3L1,1
MLH1,1
OR51F2,1
R3HDM1,1
SFTA2,1
SMARCA5,1
SOWAHD,1
ZFAND1,1
AC004817.1,1
AMH,1
BASP1,1
CACNA2D1,1
BLOC1S4,1
CCDC74A,1
TCHP,1
AL356215.1,1
C6orf52,1
C9orf89,1
CA8,1
CORO2A,1
ERLIN2,1
GYG2,1
LMTK3,1
LRTM1,1
MST1,1
NUPR1L,1
PFKFB2,1
POLR2H,1
PRR12,1
RPRD1B,1
RSPH3,1
SH3BGRL,1
SIX3,1
ATPIF1,1
ADGB,1
DAGLA,1
AC002553.1,1
EPS8,1
FAM133B,1
FAM46D,1
GCOM1,1
GPR84,1
GRIK1-AS2,1
IDH1,1
KIAA1462,1
LRPPRC,1
PRELP,1
RTN3,1
SCAMP4,1
SEMA4B,1
SLC22A1,1
SLC23A3,1
TTPA,1
ZNF512B,1
UIMC1,1
TYW3,1
TRRAP,1
WDR36,1
PDCL3,1
PRKAR2A,1
PTPRM,1
RAPSN,1
RP11-219B4.5,1
TAB1,1
TGM6,1
UPF2,1
ACP1,1
AOX1,1
ARL13B,1
CHD9,1
CTSH,1
CYP1A1,1
CYP26B1,1
DGKH,1
DHX36,1
DMRTA2,1
OR13C8,1
NPY2R,1
MGAM,1
L3MBTL3,1
RPL8,1
SLC27A1,1
SP4,1
UBE2QL1,1
AGT,1
ANP32B,1
ARHGAP4,1
B3GNT6,1
CLEC18C,1
CPXCR1,1
CTSD,1
EPX,1
FAM178B,1
FER1L6,1
FOXE1,1
HIST1H3B,1
KHDC3L,1
EIF2B1,1
FKBP1B,1
GEM,1
GALNT11,1
KRT8,1
MAPT,1
MYOT,1
OLIG3,1
OR9A2,1
OSTC,1
PDCD4,1
PPP1R14C,1
RP11-116D17.1,1
RP11-685N3.1,1
SENP8,1
SSB,1
TREX1,1
TRMT2B,1
USP17L15,1
WDR44,1
ZNF736,1
GALNTL6,1
FAM159B,1
HIST1H3J,1
CNTN5,1
KIAA1211,1
KRT38,1
LY6D,1
MAN1A1,1
MRPL52,1
PHF1,1
PLA2G2F,1
SPINK4,1
TDRD5,1
ZNF557,1
ZNF714,1
ALDH6A1,1
ARHGAP36,1
AVPR2,1
C17orf74,1
C17orf82,1
CDCA5,1
RASGEF1A,1
RAB39B,1
RAB34,1
MAGEF1,1
MTA2,1
PEG3,1
PLK5,1
PRH2,1
PTP4A3,1
RAD9A,1
RTN1,1
SEPHS2,1
SH3BP1,1
SLC2A9,1
SLC44A2,1
SYCP3,1
VRK2,1
ZNF689,1
AL353698.1,1
BTBD16,1
DONSON,1
MMP10,1
LYNX1,1
FASTKD3,1
LIPK,1
MAGEA3,1
MESDC1,1
PSMB9,1
RP11-94B19.4,1
SKIV2L,1
SKP1,1
TAF13,1
TBXA2R,1
TRPM1,1
AP002353.1,1
ARL2BP,1
AVPR1B,1
C2orf54,1
CLEC3A,1
FAM161B,1
FAM57A,1
ITIH3,1
FAM20A,1
FMO6P,1
PRPF38A,1
C7orf25,1
CILP2,1
CKMT1B,1
DDHD2,1
ENO2,1
FPR2,1
FXYD4,1
GOLGA1,1
GPS2,1
KIAA1549L,1
LRCH2,1
MC3R,1
NSF,1
OR1F1,1
OR1L8,1
OR4C6,1
PITX3,1
PREB,1
CD7,1
ZSCAN22,1
GIP,1
ZNF446,1
HMGXB3,1
IPO11,1
SLC35D2,1
KCTD5,1
LACE1,1
MSL2,1
NLGN3,1
NME5,1
PRSS22,1
RNF39,1
RP1-309K20.6,1
RSPH6A,1
SAPCD2,1
SNX25,1
STRIP2,1
TENC1,1
UBE2Q1,1
AL355149.2,1
AQP12B,1
TCERG1L,1
PTPN23,1
IRF2,1
KDM4A,1
NAAA,1
NEUROG2,1
NXPH2,1
OR10G6,1
PDCD1LG2,1
PRND,1
SLCO3A1,1
CHI3L1,1
TMEM107,1
TMEM52B,1
TNKS1BP1,1
TRIM32,1
TSC22D4,1
UBA7,1
UBAC1,1
ABCC12,1
HHLA1,1
ESRRA,1
ECH1,1
DRG1,1
OR13C3,1
PCDHB11,1
PGK2,1
PLCB2,1
PRR20C,1
RIC8B,1
RP1,1
RP11-215A19.2,1
SIAH1,1
URGCP,1
ZCRB1,1
ZNF41,1
AC005544.1,1
AC145676.2,1
ANKRD13A,1
ANKRD29,1
CAPN3,1
AL596220.1,1
