,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
114,5.06,6.18,16.54,4.35,8.26,4.34,5.91,4.41,4.87,5.07,9.65,5.43
115,10.86,14.05,2.7,4.96,8.35,16.1,7.1,9.96,6.9,8.31,6.82,12.41
116,0.75,0.99,4.6,1.5,0.82,0.38,0.56,1.35,2.05,2.06,1.04,3.62
117,115.85,49.44,88.73,29.9,15.25,27.06,36.82,38.15,31.75,36.31,46.78,26.4
118,8.68,3.47,4.38,5.51,4.02,8.41,1.53,3.45,5.57,5.27,8.26,1.47
119,48.82,30.97,36.57,20.58,23.89,20.48,40.6,30.58,34.35,19.06,46.58,14.27
120,3.95,5.92,2.15,5.83,10.1,6.17,11.23,5.32,10.82,2.22,4.84,3.07
121,15.67,29.16,30.53,11.46,36.58,44.39,27.84,33.86,16.55,20.62,24.59,31.7
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.58,0.57,0.72,0.11,0.55,0.44,0.34,0.7,1.07,0.19,0.47,1.27
124,0.0,0.06,0.09,0.0,0.13,0.04,0.03,0.03,0.0,0.0,0.02,0.09
125,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.02,0.06,0.0,0.0,0.0
126,0.0,0.03,0.0,0.0,0.0,0.04,0.04,0.06,0.0,0.05,0.0,0.07
127,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.04
128,12.08,12.56,12.65,2.42,9.19,6.63,13.97,7.84,15.44,12.83,19.86,9.84
129,21.53,28.11,34.27,35.57,5.97,8.05,23.5,41.78,16.7,60.71,52.47,40.51
130,15.37,75.24,47.19,49.33,3.55,57.44,135.8,29.94,32.26,35.84,33.99,11.97
131,8.51,10.98,30.41,8.66,14.72,4.54,12.43,34.71,16.52,15.16,12.62,28.01
132,17.58,4.58,10.5,7.52,2.42,16.7,6.06,7.55,22.88,7.32,7.3,6.31
133,14.53,6.25,8.22,6.27,20.2,14.75,16.52,14.83,7.13,8.15,5.03,10.96
134,8.26,4.62,5.08,2.48,5.26,6.42,11.64,10.55,3.71,18.28,7.13,7.61
135,2.16,4.09,0.56,0.55,1.87,2.44,0.67,0.56,2.59,0.66,2.11,0.65
136,25.14,17.44,23.61,12.12,15.91,22.66,33.32,26.93,34.79,26.42,23.5,26.21
137,37.43,26.05,12.72,14.34,18.27,49.31,29.9,14.86,40.28,14.05,28.74,18.74
138,0.08,0.0,0.15,0.0,0.0,1.61,0.04,0.0,0.07,0.03,0.07,0.0
139,0.33,0.03,0.56,0.34,0.08,1.09,0.32,0.07,0.65,0.06,0.1,0.09
140,27.04,20.7,16.13,22.08,28.77,49.58,22.91,22.23,24.02,18.29,23.35,9.57
141,11.35,3.38,2.17,3.48,20.57,31.05,7.14,5.07,9.22,3.42,3.9,3.81
142,35.66,9.84,40.36,61.45,14.93,2.37,14.19,24.85,225.83,44.45,37.16,46.72
143,3.33,1.88,5.3,8.9,0.13,0.08,6.87,1.95,5.55,8.04,5.13,0.29
144,1.61,1.74,1.4,14.85,0.06,27.56,14.15,2.84,4.51,0.89,1.82,0.3
145,7.44,0.7,4.35,5.5,0.39,0.0,4.97,7.36,1.49,4.33,3.44,0.88
146,36.82,61.46,34.61,41.31,22.06,129.65,51.59,60.07,26.38,101.53,109.8,33.34
147,0.0,0.11,0.0,0.0,0.05,0.0,0.08,0.02,0.08,0.08,0.01,0.05
148,55.81,11.25,157.97,126.65,141.82,92.15,58.98,189.05,86.98,91.16,130.42,79.04
149,16.01,28.46,20.2,5.85,31.41,16.07,19.95,19.9,17.69,13.03,18.83,10.36
150,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03
151,37.77,2.57,11.7,23.26,7.57,21.69,23.38,5.84,23.27,12.72,17.79,11.22
152,4.18,5.86,5.77,9.84,2.31,5.61,12.21,12.84,13.22,5.47,3.04,3.39
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.98,0.0,0.0,0.0,1.99,0.06,0.0,0.0,0.0,0.03,0.0,0.0
157,0.3,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.0,3.15,0.0,2.82,0.0,0.0,15.17,2.78,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.38,0.31,0.0,0.0,0.19,0.09,0.33,0.17,0.35,0.08,0.11,0.14
161,1.07,0.84,0.33,0.51,0.14,0.26,1.25,0.26,1.66,0.18,0.19,0.62
162,0.0,1.92,0.0,0.0,3.87,0.59,0.68,0.0,0.21,0.0,2.14,3.32
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,0.54,1.32,0.06,0.56,0.29,0.62,0.19,2.19,0.19,0.65,0.72
165,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,2.69,1.12,1.32,2.25,2.16,0.98,1.08,1.24,0.83,1.09,1.39,2.18
167,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
169,0.38,0.2,0.0,0.0,0.06,0.0,0.07,0.18,0.7,0.3,0.2,0.32
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
174,1.01,0.87,1.11,0.05,1.92,0.06,0.34,0.34,0.96,0.23,0.33,0.84
175,3.88,0.31,5.51,1.38,2.15,0.37,1.51,1.36,2.0,0.31,0.86,0.89
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0
183,9.37,26.21,19.84,7.41,18.98,74.32,7.85,9.14,11.8,11.66,12.67,21.83
184,0.67,0.36,0.26,0.2,0.23,0.22,0.44,0.39,1.27,0.46,0.22,0.64
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.5,0.0,0.0,1.26,0.0,0.2,0.12,0.0,0.07,0.1,0.45
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.04,0.0,0.0,0.0,0.14,0.05,0.0,0.44,0.15,0.0,0.24
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0.04,0.05,0.0,0.0,0.0,0.02,0.02,0.01,0.0,0.01,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.0
195,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.17,0.77,0.0,0.66,0.28
196,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.08,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.0,0.0,0.0,0.0
199,0.0,2.47,4.68,1.54,2.32,1.26,1.49,1.43,2.0,1.09,2.85,3.53
200,0.0,1.46,1.2,0.0,1.66,1.44,1.91,3.35,0.75,0.72,1.6,2.44
201,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.66,0.22,0.65,0.19
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0,0.04,0.0,0.0,0.13,0.0,0.11,0.04,0.0,0.0,0.09,0.0
205,0.0,0.18,0.0,0.21,0.83,0.0,0.33,0.46,1.59,0.13,0.18,0.25
