,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
OVCH1,1.49,0.0,0.02,0.06,0.0,0.0,0.1,0.01,0.0,0.0,0.04,0.0,0.01,0.0,0.11,0.01,0.37,0.0,0.0,0.0,0.05,0.0,0.01,0.06,0.03,0.0,0.0,0.29,0.01,0.0
OVCH1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.08,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.07,0.0,0.0,0.0,0.0,0.0,0.0
OVGP1,2.09,1.44,0.76,0.61,1.54,0.52,1.31,0.63,1.38,0.56,0.65,1.14,1.51,0.66,4.04,1.44,0.41,9.85,2.19,0.66,1.95,0.82,2.23,1.48,0.92,2.28,1.16,0.89,0.22,1.16
OVOL1,1.52,9.08,0.0,0.02,0.48,0.01,0.01,0.01,0.03,0.02,0.04,0.02,0.05,9.99,10.19,11.6,9.22,15.79,11.51,6.42,10.24,2.6,6.62,6.55,17.21,11.54,3.13,10.4,13.02,3.5
OVOL2,7.16,7.46,0.31,0.0,0.05,0.0,0.0,0.04,0.01,0.04,0.1,0.17,4.74,12.48,5.39,1.8,12.28,13.54,6.98,13.71,10.02,6.61,19.55,6.22,9.33,3.93,13.08,2.55,8.74,7.67
OVOL3,0.2,0.45,0.16,0.06,0.12,2.54,0.08,0.26,0.14,1.08,0.14,0.61,0.32,0.2,0.0,0.07,0.12,0.07,0.2,0.2,0.57,0.33,0.0,0.04,0.31,0.0,1.05,0.16,0.36,0.0
OXA1L,42.62,76.97,78.1,53.55,170.37,108.79,169.15,119.04,94.4,109.35,84.91,58.2,130.92,83.83,103.51,146.23,53.04,169.98,145.08,94.22,29.9,66.14,94.11,55.57,59.07,67.98,71.75,74.65,47.34,154.08
OXCT1,0.9,38.99,68.74,34.89,39.94,79.99,45.76,45.8,18.81,50.55,8.07,29.12,31.69,22.46,22.44,14.63,34.94,0.17,56.07,138.43,28.63,0.71,19.99,7.83,43.9,11.4,10.41,34.66,30.6,3.85
OXCT2,2.86,3.63,0.96,0.02,1.42,0.13,1.2,0.04,0.93,0.0,0.98,0.34,0.81,0.51,0.48,0.26,0.12,0.4,1.35,0.42,2.38,0.66,2.96,1.92,11.57,0.02,0.64,1.26,0.02,0.17
OXER1,0.1,0.05,0.01,0.02,4.42,0.14,0.1,0.0,0.0,0.14,0.3,0.14,0.02,0.06,0.28,0.17,0.05,0.05,0.71,0.01,0.15,0.04,1.04,1.44,0.93,0.07,1.47,1.31,3.91,0.02
OXGR1,0.68,0.02,0.04,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.26,0.0,0.0,0.05,0.08,0.11,0.22,1.71,0.43,0.0,0.2,0.98,0.03,0.17,0.94,0.52,0.05
OXLD1,59.88,35.26,23.03,46.68,32.34,32.5,40.84,27.37,32.69,50.15,16.7,22.05,46.15,46.53,27.03,42.03,96.78,26.52,38.39,31.19,23.58,78.95,56.15,22.74,38.58,30.07,49.36,10.34,29.18,33.3
OXNAD1,11.11,7.48,7.81,13.34,6.87,11.88,11.03,11.93,13.07,16.85,12.78,11.24,11.2,6.78,6.12,12.09,14.45,13.91,18.02,19.08,14.92,9.99,8.6,3.9,13.71,10.49,6.23,4.3,6.71,11.71
OXR1,5.39,17.91,23.14,17.65,14.65,5.37,11.91,15.1,13.27,12.06,11.79,18.29,23.68,55.42,23.5,26.11,59.09,5.91,41.17,38.91,35.9,23.76,37.02,20.28,47.11,75.62,43.62,17.6,36.06,155.53
OXSM,9.33,12.75,12.94,12.73,13.81,10.99,12.79,12.96,17.05,10.63,13.26,10.83,14.15,14.25,9.77,13.96,19.21,19.75,9.8,9.25,22.26,22.68,13.04,7.63,15.5,19.86,11.95,7.97,8.94,14.34
