,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
CTIF,25.47,7.22,15.47,9.6,3.35,0.11,0.8,40.99,4.1,0.01,3.96,0.83,26.38,27.34,4.06,3.14,13.49,8.38,2.14,17.81,26.34,7.45,21.29,2.37,15.84,4.09,14.89,17.42,26.9,11.97
CTLA4,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.02,0.01,0.0,0.03
CTNNA1,73.12,179.36,252.69,183.53,86.03,13.61,0.73,289.27,97.05,4.19,29.75,42.23,153.8,199.76,167.63,240.8,153.88,517.04,283.96,233.42,143.04,175.1,245.09,110.14,322.43,229.34,229.73,20.44,233.85,280.05
CTNNA2,0.25,0.0,9.24,0.22,0.17,0.0,0.05,0.07,0.04,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.77,0.01,0.0,0.01,0.05,0.0,0.02,0.01,0.0,0.01,0.0,0.02,0.0,0.03
CTNNA3,0.07,0.09,0.04,0.02,0.06,0.1,0.44,0.01,0.01,0.13,0.0,0.03,0.03,0.05,0.1,0.02,0.09,0.0,0.0,0.0,0.13,0.02,0.11,0.05,0.11,0.04,0.04,0.01,0.09,0.0
CTNNAL1,13.52,44.42,84.52,74.08,5.78,13.01,32.78,84.33,14.8,39.19,20.98,39.64,22.05,12.39,7.07,5.97,25.03,2.6,36.65,9.86,5.17,26.95,58.22,16.93,52.45,22.19,35.31,11.51,21.95,38.61
CTNNB1,40.71,90.72,255.96,102.12,48.79,76.35,62.67,156.86,79.91,46.36,44.2,73.38,228.68,31.37,38.33,86.04,93.49,72.88,67.52,97.68,205.31,122.66,490.93,66.97,430.19,84.51,60.43,183.02,121.76,245.98
CTNNBIP1,16.83,26.62,37.03,8.64,10.91,7.98,7.01,67.79,29.58,2.74,24.59,9.24,49.54,26.14,14.14,24.1,41.32,25.44,42.64,47.05,26.95,31.87,38.71,25.51,24.85,47.35,41.2,90.04,25.03,50.7
CTNNBL1,35.82,45.63,47.15,58.27,48.11,65.43,43.39,64.85,245.01,63.34,68.66,73.78,58.27,34.52,27.05,53.81,53.83,69.22,65.36,34.49,30.95,43.02,70.62,38.05,48.35,60.09,38.0,23.26,105.57,27.17
CTNND1,63.89,307.53,74.21,32.53,6.13,3.36,1.28,67.47,46.62,0.99,10.68,4.43,95.56,53.17,73.86,45.7,87.19,94.3,111.39,110.53,32.72,135.02,90.94,136.45,154.41,102.24,98.2,172.93,56.59,217.81
CTNND2,10.26,0.05,0.14,0.06,2.81,0.0,0.0,0.0,0.04,0.01,0.01,0.0,0.0,21.3,11.51,12.15,4.8,21.54,0.1,0.43,1.27,0.01,4.49,0.56,0.16,19.17,0.16,1.56,0.04,0.06
CTNS,8.4,10.25,12.94,7.34,6.58,11.55,4.73,9.35,7.65,4.83,4.5,6.61,7.38,9.99,5.9,8.02,6.57,16.38,9.21,6.84,2.99,11.11,11.01,5.19,5.54,15.12,6.43,6.73,9.81,11.18
CTPS1,18.08,27.96,65.62,65.95,47.33,104.65,81.89,55.13,66.5,95.95,69.98,108.27,71.51,155.85,39.24,31.68,53.8,57.96,45.77,71.62,87.07,21.08,78.1,9.73,121.06,16.51,66.94,64.18,122.33,81.41
CTPS2,9.4,6.94,10.42,2.74,6.07,0.45,6.06,4.56,3.89,11.19,2.69,5.59,5.78,18.14,10.86,9.16,20.54,1.23,10.92,7.01,4.83,22.77,3.98,4.28,6.94,17.91,23.58,12.95,9.23,16.79
CTR9,25.4,22.86,20.25,15.24,23.34,20.25,18.2,26.18,39.08,11.59,21.44,25.62,15.98,12.42,18.3,15.0,36.54,30.29,11.94,11.58,11.58,20.2,18.57,5.98,16.73,32.53,34.3,24.56,16.51,17.13
CTRB1,0.0,0.12,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.06,0.09,0.0,0.03,0.09
CTRB2,0.0,0.32,0.07,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.08,0.05,0.0,0.11,0.04,0.01,0.15,0.0,0.01,0.05,0.32,0.03,0.09,0.08,0.28,0.13,0.06,0.1
CTRC,0.42,0.41,0.73,1.26,0.11,0.04,0.01,0.2,0.0,0.03,0.28,0.12,0.54,0.01,0.0,0.04,0.4,0.05,0.42,0.27,0.0,0.05,0.0,0.17,0.21,0.04,0.17,0.88,0.0,0.9
CTRL,2.01,2.35,0.28,2.74,2.86,2.76,1.13,0.84,0.95,2.44,3.43,1.34,1.48,0.9,0.46,1.0,0.46,0.21,1.62,1.32,1.98,0.42,1.38,0.41,0.42,0.71,2.37,0.7,0.58,0.9
CTSA,133.58,219.88,366.69,158.42,73.27,58.6,15.19,268.63,53.88,40.38,74.24,37.6,216.23,113.2,243.1,143.0,161.75,345.27,175.64,139.59,33.66,154.78,139.35,61.48,149.13,332.07,69.0,52.95,501.12,141.86
CTSB,27.03,251.81,571.89,341.35,21.08,8.23,3.09,348.07,106.75,3.95,37.13,18.12,196.37,28.4,18.64,146.12,91.17,61.42,134.54,100.07,108.49,156.34,588.41,265.9,173.8,66.58,94.87,44.25,177.5,252.87
CTSC,118.07,258.16,163.18,246.19,205.6,48.13,56.36,80.09,173.4,129.96,222.5,58.42,108.53,60.26,5.76,5.59,133.92,80.55,52.04,250.28,8.76,9.22,291.8,98.54,89.71,0.64,26.33,16.75,111.71,275.27
CTSD,105.98,1139.7,2255.7,478.69,40.24,27.71,16.86,381.57,86.55,18.43,109.08,20.03,318.87,345.05,342.14,1720.2,205.11,2127.8,790.01,463.61,36.35,1585.7,547.4,127.83,854.33,1397.8,263.44,147.53,224.3,609.57
CTSE,0.01,0.05,0.56,0.15,0.45,0.02,0.0,0.05,0.06,0.02,0.52,0.07,0.06,0.84,0.09,0.02,0.04,0.11,0.89,0.08,0.03,0.0,0.17,0.05,0.02,0.01,0.05,0.02,0.05,0.61
CTSF,9.41,17.28,31.04,9.26,0.46,0.04,0.55,1.5,5.9,0.06,1.46,0.04,25.54,60.21,15.61,1.65,81.61,5.09,25.08,0.41,4.83,58.69,9.1,27.7,22.54,5.3,40.97,8.73,119.37,12.96
CTSG,0.02,0.0,0.09,0.2,0.1,0.0,0.03,0.13,0.13,0.0,139.45,0.0,0.72,0.0,0.02,0.08,0.03,0.16,0.0,0.48,0.1,0.0,0.0,0.08,0.06,0.03,0.05,0.96,0.06,0.0
CTSH,17.91,86.76,33.97,57.88,998.58,398.41,24.12,0.8,42.15,84.88,166.1,0.58,23.16,37.63,38.51,132.06,54.47,35.7,254.24,135.9,10.06,24.27,158.82,94.91,139.03,56.97,46.39,46.71,139.66,433.84
CTSK,12.84,2.82,2.76,4.63,1.8,3.0,1.14,1.49,1.61,0.65,2.02,1.38,2.32,1.82,4.11,5.83,3.4,0.28,0.8,2.69,2.3,2.96,3.45,1.23,2.89,3.47,3.32,11.55,1.45,5.39
CTSL,57.88,258.37,475.54,253.92,0.38,0.57,0.23,109.87,28.48,0.31,9.83,0.31,127.86,47.74,53.82,116.35,23.53,131.95,118.56,84.13,41.42,15.42,58.92,42.03,52.16,19.38,24.65,47.63,20.34,149.17
CTSO,1.46,2.32,12.89,7.45,12.65,0.34,1.51,3.88,2.63,0.01,0.05,2.29,5.85,0.98,11.61,0.33,4.49,2.31,1.17,5.32,1.18,3.4,5.34,2.95,10.22,11.82,1.28,5.51,7.46,7.52
CTSS,0.8,33.98,11.7,53.52,169.11,121.13,74.26,13.46,103.04,52.94,31.88,58.97,0.4,0.11,0.26,0.07,0.69,6.99,9.7,114.44,1.63,0.47,2.91,31.65,29.95,0.14,0.52,64.43,0.77,55.28
CTSV,17.55,39.9,12.9,0.63,0.13,1.33,0.48,0.88,1.48,1.14,0.29,0.11,21.97,9.21,3.59,12.03,10.99,14.24,72.46,31.51,12.92,21.32,77.42,45.57,99.1,19.23,6.54,6.4,43.34,18.12
CTSW,0.12,0.11,0.31,0.54,0.13,0.0,0.07,0.2,67.24,0.12,99.34,0.19,0.21,0.13,0.01,0.11,0.1,0.05,0.07,0.02,0.18,0.07,0.11,0.02,0.28,0.02,0.34,0.06,0.19,0.05
CTSZ,22.39,126.98,73.65,0.29,256.15,102.68,38.04,0.55,142.23,180.26,58.3,85.34,0.87,43.4,37.41,6.98,40.96,136.22,161.2,212.81,6.74,129.51,88.73,77.88,185.13,2.42,85.15,2.4,27.76,358.99
CTTN,147.68,1476.3,155.11,106.37,17.65,61.01,3.46,129.28,4.66,2.02,11.36,0.62,419.57,210.57,111.23,247.18,457.37,176.11,238.11,168.36,187.46,183.86,707.92,141.3,233.83,287.36,213.61,262.74,195.41,376.25
CTTNBP2,0.31,0.07,3.48,4.43,0.13,0.0,0.01,2.13,12.22,0.04,0.01,0.01,0.02,0.06,0.22,0.05,22.61,0.01,0.01,0.01,0.0,0.0,0.1,0.01,0.09,2.89,1.06,0.09,0.06,0.08
CTTNBP2NL,4.32,7.67,12.13,5.43,5.61,0.49,11.02,10.95,1.8,0.04,0.43,0.2,5.32,5.89,2.4,2.97,2.37,5.22,9.34,15.39,9.64,2.41,8.23,5.53,8.92,2.59,5.65,8.03,4.23,10.45
CTU1,5.4,4.76,2.35,3.21,1.98,5.98,3.34,2.1,3.64,1.04,3.45,3.31,1.69,4.13,1.87,2.02,2.75,2.94,6.42,1.88,3.18,0.97,1.32,1.99,2.38,1.66,3.89,3.46,3.1,1.26
CTU2,16.93,8.69,11.18,38.8,16.64,26.3,22.09,17.5,23.67,9.44,26.77,17.06,37.97,11.92,7.32,19.66,17.95,6.99,24.05,12.89,19.42,14.36,11.57,6.96,14.39,6.62,8.24,10.59,14.83,25.4
CTXN1,4.7,0.34,4.32,3.41,0.06,8.11,1.82,6.58,0.81,0.26,3.9,2.24,3.18,28.42,11.59,8.46,51.41,1.01,9.2,24.66,24.08,13.09,6.19,1.33,26.08,5.18,14.91,31.6,31.07,6.55
CTXN2,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.03,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
CTXN3,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.03,0.02
CUBN,0.0,0.05,3.93,0.22,0.01,0.03,0.05,0.69,0.13,0.0,0.02,0.09,0.12,0.04,0.01,0.0,0.0,0.0,0.0,0.03,0.06,0.0,0.43,0.01,0.15,0.0,0.0,0.07,1.24,0.03
CUEDC1,97.89,29.56,40.57,45.06,0.55,6.79,0.29,21.64,0.41,3.82,0.25,0.07,28.21,11.41,20.68,15.35,39.28,6.98,20.59,15.83,27.71,105.17,46.65,11.17,66.26,85.93,75.46,2.93,14.14,28.49
CUEDC2,22.34,31.29,44.05,39.04,57.66,22.92,66.36,77.06,72.59,43.98,73.27,56.66,45.36,31.52,24.56,42.68,31.28,12.37,24.47,34.85,31.42,72.84,38.35,47.69,28.66,32.91,38.44,32.01,31.69,36.54
CUL1,20.35,20.17,63.79,70.75,23.4,45.79,56.93,44.97,32.69,74.75,64.22,78.73,80.28,44.89,32.71,27.31,38.57,57.91,37.29,46.8,18.96,16.62,19.27,8.38,32.0,31.83,37.53,71.06,97.94,65.21
CUL2,8.88,14.96,23.92,18.57,14.11,18.77,23.99,18.16,12.89,21.03,13.71,11.27,47.43,25.33,13.76,19.06,35.52,18.27,34.07,64.35,18.85,14.83,37.74,8.91,46.53,20.29,29.01,32.16,23.48,31.71
CUL3,37.74,29.55,45.56,51.3,45.04,109.82,74.16,51.52,45.97,91.72,74.28,70.86,62.02,27.78,27.18,44.29,97.82,52.42,29.41,51.24,38.02,36.6,45.62,26.96,84.86,59.17,83.89,41.97,49.34,57.51
CUL4A,23.67,55.41,56.8,62.85,32.77,67.84,57.65,28.87,45.18,31.62,83.16,103.97,39.57,19.29,39.63,26.85,40.42,63.92,64.29,55.21,40.78,36.45,52.62,44.08,34.8,62.07,31.48,100.5,46.87,55.91
CUL4B,8.19,20.91,70.97,24.55,12.83,29.34,16.64,45.79,17.34,17.65,13.96,48.05,40.07,9.68,11.05,17.54,29.82,17.8,20.17,35.16,9.34,14.17,40.52,10.01,121.06,24.11,30.65,43.18,17.14,47.44
CUL5,7.57,11.03,16.7,11.81,9.75,24.24,7.36,17.95,19.38,14.87,13.42,13.18,10.45,13.94,5.58,6.69,13.34,14.03,18.15,12.96,14.03,19.48,8.57,8.14,26.71,7.63,13.83,26.33,12.24,14.11
CUL7,10.82,14.78,12.88,7.15,14.69,8.99,8.8,16.01,15.54,5.48,7.3,7.68,14.93,13.4,9.07,17.38,11.08,8.99,8.38,7.77,9.61,17.81,9.97,11.19,14.25,23.69,5.69,9.5,56.53,8.31
CUL9,20.64,32.35,7.03,17.42,37.13,34.78,14.41,15.44,32.18,16.01,17.16,24.32,24.17,51.67,9.58,20.07,29.61,12.34,24.05,20.47,40.46,25.25,41.13,12.07,21.33,18.3,14.84,16.82,60.01,12.64
CUTA,180.07,116.42,348.76,324.69,187.16,194.55,152.22,269.59,257.89,244.61,192.47,123.36,365.34,178.98,92.91,233.45,211.49,171.03,243.22,201.1,117.38,191.29,136.11,135.77,142.46,135.76,121.48,199.38,155.25,297.13
CUTC,12.02,22.55,20.36,22.56,23.68,58.69,44.87,26.27,52.75,59.78,56.43,66.07,20.75,22.66,28.84,19.13,11.74,18.02,12.7,9.84,15.21,30.37,21.47,16.33,14.71,10.33,46.08,12.23,18.37,26.06
CUX1,52.92,40.95,49.59,31.47,4.67,55.52,47.94,41.85,24.52,156.47,22.94,29.84,50.61,8.77,41.16,67.42,64.45,33.89,23.62,21.46,14.61,11.41,15.46,28.06,66.49,32.41,31.14,22.28,38.39,27.74
CUX2,0.03,0.02,0.01,0.0,0.08,0.0,22.33,0.0,0.01,0.0,0.01,1.07,0.02,0.0,0.37,0.01,2.54,0.0,0.0,0.01,0.01,2.13,0.03,0.0,0.0,0.11,0.02,0.06,0.02,0.04
CUZD1,1.01,0.91,0.02,0.94,0.07,1.29,0.0,1.27,3.08,0.51,0.95,0.37,1.25,0.34,0.31,0.76,0.59,0.21,1.66,0.99,1.0,0.74,0.0,0.76,0.78,0.02,1.72,0.52,0.02,0.38
CWC15,28.51,38.51,47.03,52.12,44.54,142.42,42.27,59.23,63.65,84.62,76.13,48.81,39.17,43.11,31.91,24.68,39.49,51.94,56.88,34.01,51.47,75.31,15.55,36.95,56.7,30.74,42.51,62.34,55.15,95.19
CWC22,14.29,9.85,12.42,14.87,13.63,29.17,20.02,16.67,18.64,18.79,26.14,20.16,21.45,11.1,5.51,9.31,9.78,10.51,12.69,16.15,12.71,7.92,18.4,31.83,20.91,8.21,13.31,11.9,15.84,19.85
CWC25,10.25,40.95,15.05,33.22,20.47,28.18,17.35,16.14,16.22,17.15,29.99,33.74,17.74,9.87,3.99,7.54,9.46,7.35,18.4,11.0,29.7,24.09,16.23,12.7,34.74,10.96,9.3,11.68,19.65,20.26
CWC27,12.24,10.31,19.02,37.11,21.55,32.14,36.58,39.64,16.43,33.47,21.62,20.41,13.01,14.41,8.09,16.34,31.45,13.16,18.84,16.38,17.98,23.15,23.61,10.08,24.71,12.27,18.54,11.69,24.8,16.04
CWF19L1,5.17,17.11,11.55,12.55,13.93,27.59,20.59,18.03,17.81,23.43,26.51,38.14,17.91,10.28,11.08,15.57,12.62,6.43,12.64,13.79,14.11,25.24,25.76,10.54,12.98,15.37,22.89,16.96,17.12,17.69
CWF19L2,3.48,9.51,7.84,6.24,5.58,29.83,7.59,8.74,8.55,15.61,9.28,9.5,7.61,5.2,3.2,2.9,5.55,7.34,10.16,7.4,5.39,9.31,4.2,6.27,13.27,4.67,5.86,8.56,8.51,6.4
CWH43,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,2.13,0.0,0.17,2.91,0.82,0.0,0.44,0.01,3.22,0.0,0.0,0.66,0.0,0.06
CX3CL1,0.1,1.1,2.49,6.98,2.22,0.01,0.04,0.06,0.01,0.01,0.05,0.0,43.33,1.33,0.58,0.01,5.03,17.77,26.28,43.68,3.74,0.06,45.86,0.21,2.49,0.13,15.62,19.46,11.11,30.42
CX3CR1,0.19,0.0,0.17,0.0,0.12,0.02,0.0,0.01,1.45,0.0,0.2,0.06,0.03,13.78,0.02,0.02,0.12,1.52,0.04,0.0,0.02,0.05,0.1,0.03,0.0,0.07,0.44,0.44,0.04,0.05
CXADR,18.1,6.4,4.13,3.51,0.05,1.5,0.89,1.61,0.07,0.57,0.19,0.07,1.38,23.64,10.13,0.14,15.42,8.71,5.93,30.29,72.59,8.0,70.72,6.6,37.09,27.69,0.7,15.53,10.61,32.42
CXCL1,0.56,90.23,0.37,0.15,0.32,0.08,0.23,0.76,0.3,0.04,0.2,0.37,1.1,0.1,0.96,0.14,10.38,0.12,3.78,5.74,0.33,0.16,237.38,18.62,50.62,0.27,0.57,0.43,0.5,1.46
CXCL10,0.04,5.97,2.53,0.1,0.94,0.02,3.34,0.02,0.0,0.45,2.74,0.0,0.58,0.14,0.04,0.02,0.41,0.6,0.27,0.49,2.06,0.02,12.6,1.29,0.29,0.02,0.08,1.58,115.69,1.61
CXCL11,0.02,2.74,0.57,0.12,0.0,0.05,0.5,0.04,0.03,0.32,0.16,0.0,0.78,5.52,0.02,0.01,0.05,0.05,0.29,0.55,0.22,0.0,2.12,0.18,0.09,0.07,0.0,0.23,4.87,2.6
CXCL12,0.1,0.0,66.55,4.34,1.44,0.23,0.03,0.08,0.02,0.0,0.0,0.04,28.24,0.22,0.0,44.48,49.17,0.06,0.16,0.03,0.62,118.12,1.68,0.06,0.8,0.19,3.74,14.16,1.18,0.0
CXCL13,0.03,0.0,0.55,0.02,0.15,0.0,0.0,0.07,0.05,0.02,0.0,0.01,0.28,0.0,0.0,0.0,0.48,0.04,0.04,0.0,0.04,0.0,0.17,0.01,0.04,0.02,0.0,0.0,0.0,0.0
CXCL14,0.05,0.08,0.41,1.57,0.35,0.0,0.01,0.26,0.01,0.0,0.2,0.03,0.32,0.01,0.01,2.49,0.06,0.05,0.06,0.71,0.03,0.01,0.02,0.0,1.07,1.63,84.95,0.57,0.03,0.0
CXCL16,74.02,33.79,9.75,13.89,1.49,0.41,0.15,7.69,0.57,0.12,0.43,0.5,5.61,77.1,7.34,14.14,5.57,2.31,109.27,101.13,11.31,52.4,49.39,67.4,44.22,20.55,21.81,156.77,46.09,35.69
CXCL17,0.5,0.85,0.0,0.04,0.0,0.06,0.0,0.0,0.02,0.2,0.0,0.0,0.04,0.14,5.14,0.27,0.2,0.75,4.07,277.94,0.02,0.04,0.05,0.17,0.04,0.49,0.23,0.07,0.09,201.46
CXCL2,0.33,14.56,0.75,1.79,0.41,0.09,0.11,0.91,4.0,0.0,0.56,0.0,1.06,0.22,0.18,0.0,0.83,0.04,0.78,2.88,1.13,0.06,7.62,3.2,1.45,0.02,0.05,0.23,0.31,8.55
CXCL3,0.35,7.88,0.63,9.34,0.28,0.0,0.0,0.59,4.26,0.0,0.36,0.03,4.18,0.15,0.08,0.02,2.25,0.01,0.26,0.75,0.18,0.09,2.97,4.54,3.34,0.01,0.08,0.66,0.64,0.72
CXCL5,0.19,0.29,0.21,7.21,0.22,0.06,0.05,0.07,0.12,0.06,0.11,0.02,0.14,0.03,0.06,0.03,0.32,0.07,0.11,1.94,0.19,0.04,76.39,0.94,0.78,0.08,0.17,0.5,0.2,0.25
CXCL6,0.23,0.35,0.05,0.33,0.04,0.02,0.0,0.03,0.1,0.06,0.12,0.01,0.05,0.01,0.03,0.09,0.05,0.01,0.68,1.23,0.09,0.01,0.02,3.23,12.85,0.13,0.09,0.06,0.06,0.02
CXCL9,0.01,0.12,0.09,0.0,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.01,0.15,0.05,0.0,0.04,0.01,0.0,0.03,0.0,0.0,0.04,0.03
CXCR1,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.02,0.0,0.48,0.04,0.06,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.17,0.0,0.0,0.0
CXCR2,0.0,0.11,0.0,0.01,0.58,0.01,0.0,0.01,1.24,0.0,0.45,0.02,0.0,0.0,0.0,0.01,0.04,0.78,0.0,0.0,0.0,0.09,0.05,0.75,0.02,0.02,0.04,0.02,0.0,0.0
CXCR3,0.21,0.02,0.01,0.0,68.13,0.01,0.0,0.0,0.09,0.0,0.87,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.02
CXCR4,0.51,0.21,12.43,0.95,5.67,2.24,175.97,0.05,0.49,29.94,62.12,397.13,1.31,50.4,8.97,42.63,62.13,0.43,0.44,0.12,15.51,1.57,11.08,0.14,5.22,10.26,1.71,64.19,0.23,0.37
CXCR5,0.03,0.08,0.0,0.0,3.25,37.5,3.52,0.01,0.01,21.13,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.07,0.01,0.03,0.02,0.06,0.0,0.02,0.03,0.01,0.01,0.03,0.02,0.01
CXCR6,0.05,0.27,0.18,0.15,0.22,0.46,0.19,0.09,0.38,1.29,0.63,0.12,0.1,0.14,0.09,0.12,0.38,0.87,0.45,0.31,0.19,0.15,0.18,0.06,0.21,0.11,0.84,0.11,0.1,1.56
CXXC1,94.86,31.78,46.15,62.69,74.18,111.4,156.37,41.28,68.73,44.71,103.23,84.32,114.45,51.31,26.39,37.67,68.77,29.67,17.68,48.9,135.67,45.35,97.33,15.94,30.98,31.18,29.28,81.12,63.07,32.11
CXXC11,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0
CXXC4,4.29,0.06,0.03,0.0,5.63,0.0,0.34,0.0,0.0,0.06,0.0,0.01,0.01,0.18,0.54,0.26,3.82,0.84,0.01,0.02,0.19,0.2,0.19,0.88,0.64,0.5,1.04,0.04,0.02,0.5
CXXC5,32.9,8.08,77.41,68.72,52.21,1.8,3.59,40.17,47.35,45.99,26.03,44.77,4.98,0.8,70.45,83.96,84.94,94.41,60.59,30.66,7.99,77.5,19.37,16.48,29.85,65.68,84.19,10.05,31.49,29.43
CXorf21,0.02,0.0,0.02,0.02,20.32,2.89,0.3,0.0,4.18,3.07,11.67,32.62,0.07,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.01,0.0,0.01,0.05,0.03,0.02
CXorf22,0.0,0.0,0.01,0.02,0.29,0.01,0.01,0.01,0.18,0.0,0.01,0.01,0.0,0.26,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.03,0.02,0.0,0.05,0.12,0.05,0.53,0.46,0.01
CXorf23,3.02,3.16,4.39,3.67,2.86,4.28,1.5,2.16,1.73,2.18,2.09,2.22,2.3,3.91,2.2,2.42,7.06,3.37,2.53,3.41,0.76,4.12,2.04,1.47,4.17,2.68,4.26,2.84,3.27,6.87
CXorf24,1.45,1.45,2.63,2.17,1.85,1.48,2.15,2.33,3.73,1.58,0.84,0.79,1.99,1.27,0.8,1.64,5.4,1.04,3.44,1.3,0.74,4.39,1.27,0.9,2.41,1.16,3.47,1.0,1.74,3.46
CXorf27,0.04,0.0,0.0,0.21,0.0,0.0,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.37,0.0,0.0,0.0
CXorf28,0.0,0.57,1.8,1.03,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0
CXorf30,0.02,0.16,0.03,0.0,0.15,0.03,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.1,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.08,0.09,0.02,0.75,0.79,0.01
CXorf31,0.33,0.07,0.13,0.07,0.0,0.0,0.0,0.0,0.9,0.0,0.11,0.0,0.0,0.0,0.09,0.12,0.25,0.11,0.18,0.0,0.0,0.2,0.18,0.22,0.21,0.0,0.49,0.0,0.07,0.54
CXorf36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0
CXorf38,4.41,7.71,11.27,12.2,18.94,12.16,8.26,7.97,29.31,11.34,12.08,8.33,3.32,6.92,3.94,7.45,6.95,8.61,10.77,6.45,2.06,8.55,2.73,3.89,5.39,4.41,12.16,4.7,11.01,16.03
CXorf40A,16.78,12.15,19.12,16.61,21.51,11.68,13.17,10.11,9.84,16.12,13.19,23.53,17.07,22.66,20.02,28.34,53.36,15.81,8.92,22.39,7.96,11.71,4.05,5.01,15.56,39.79,25.41,19.41,6.32,17.15
CXorf40B,26.27,34.92,47.78,43.63,39.64,26.66,25.76,33.64,29.91,30.61,29.46,45.6,46.75,20.91,37.53,65.4,105.77,37.83,27.91,30.65,22.24,33.61,13.68,10.17,70.94,60.83,125.19,48.55,31.0,52.6
CXorf48,0.46,0.0,0.05,0.63,0.0,0.0,0.02,0.01,0.07,0.0,0.01,0.01,0.0,0.03,0.03,0.08,0.17,0.81,0.03,0.0,0.03,0.0,0.02,0.02,0.0,0.0,0.04,0.2,0.02,0.05
CXorf56,10.76,16.21,22.99,22.93,11.53,22.06,23.27,14.34,14.76,20.65,18.23,32.25,18.1,9.13,7.84,18.61,29.38,14.37,20.57,28.33,25.52,11.4,34.78,8.03,40.07,18.88,40.57,29.53,17.63,27.93
CXorf57,9.3,3.16,6.09,3.61,9.52,26.57,12.87,0.09,0.06,12.62,0.01,28.38,8.49,2.96,0.07,0.04,1.21,0.11,0.04,0.1,1.12,1.52,1.08,6.26,1.05,0.73,0.45,0.68,0.13,2.3
CXorf58,0.05,0.06,0.07,0.05,0.01,0.03,0.07,0.0,0.01,0.02,0.06,0.04,0.08,0.11,0.0,0.0,0.05,0.01,0.07,0.03,0.02,0.07,0.03,0.01,0.07,0.0,0.08,0.04,0.06,0.32
CXorf61,0.04,0.0,0.0,0.06,0.05,0.0,0.06,0.0,0.0,0.0,0.0,0.0,35.28,13.98,0.0,0.11,0.0,0.05,48.84,44.12,69.39,0.0,26.68,10.34,19.72,0.06,0.0,0.0,0.0,56.18
CXorf64,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11
