,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
FAM71E1,0.96,2.13,1.02,1.59,2.66,9.49,0.92,1.39,2.14,1.13,2.3,1.75,0.01,1.53,0.0,1.08
FAM71E2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.01,0.0,0.01
FAM71F1,0.09,0.25,0.16,0.03,0.03,0.17,0.14,0.1,0.07,0.03,0.27,0.35,0.12,0.66,0.01,0.0
FAM71F2,0.6,0.9,0.3,0.23,0.86,1.44,0.94,0.88,0.64,1.01,0.94,0.81,0.55,1.58,0.27,0.9
FAM72A,17.54,14.55,3.04,11.04,5.61,19.21,25.44,12.45,15.66,22.26,9.64,5.65,13.92,9.78,20.19,19.66
FAM72B,18.37,7.4,2.58,5.94,6.65,28.65,19.56,12.62,8.48,13.06,12.15,4.64,10.69,8.71,10.47,11.54
FAM72C,6.12,4.78,0.05,0.65,0.05,0.27,9.32,1.28,3.62,0.84,3.07,1.14,2.07,2.53,3.79,7.48
FAM72D,14.32,9.21,2.99,10.07,5.0,0.24,20.07,6.87,14.7,11.24,7.44,5.44,9.95,12.9,12.46,24.06
FAM73A,5.56,4.26,6.48,4.67,10.04,6.78,14.42,6.77,3.21,9.8,7.59,13.21,8.21,4.79,4.94,4.14
FAM73B,17.04,18.73,13.03,20.21,29.69,31.57,17.2,40.53,30.48,19.35,19.11,13.89,25.89,22.38,15.53,18.2
FAM76A,6.99,6.73,2.1,3.43,5.42,3.63,11.26,9.64,4.19,7.25,4.33,5.24,3.81,3.73,3.69,6.39
FAM76B,17.26,19.39,4.01,7.41,19.91,27.87,22.48,16.67,17.26,20.46,20.9,6.09,9.47,32.98,20.32,27.44
FAM78A,0.38,0.39,0.67,0.76,0.89,0.64,0.11,0.23,0.61,0.5,0.08,0.06,2.27,0.78,0.44,0.84
FAM78B,0.61,1.12,0.29,0.09,0.53,0.02,0.08,1.55,0.12,0.08,0.1,0.01,0.29,0.32,0.88,0.05
FAM81A,4.25,8.26,0.63,1.02,3.85,5.25,4.33,3.89,1.74,20.06,2.45,0.52,3.33,1.1,8.03,2.89
FAM81B,0.03,0.09,0.0,0.0,0.08,0.04,0.2,0.0,0.03,0.05,0.15,0.0,0.19,0.0,0.06,0.0
FAM83A,0.73,0.03,35.92,2.56,0.31,25.72,51.0,0.04,0.58,3.05,0.12,1.37,5.02,27.78,0.11,16.04
FAM83B,2.04,4.17,5.36,9.43,3.07,9.35,8.2,4.41,2.26,4.46,3.4,5.13,10.63,4.85,0.91,17.5
FAM83C,0.09,0.0,0.0,0.0,0.01,0.04,0.01,0.01,0.0,0.07,0.01,0.01,0.01,0.0,0.01,0.0
FAM83D,53.74,82.87,25.51,23.81,27.55,131.89,68.84,52.11,54.79,67.43,86.21,67.46,32.63,61.0,153.98,57.16
FAM83E,0.08,0.81,2.56,0.63,0.43,0.52,61.09,0.4,0.13,1.01,0.25,1.09,0.38,5.11,0.13,0.54
FAM83F,0.01,10.22,3.24,0.18,3.68,3.11,9.75,7.07,1.22,9.71,8.59,8.95,3.58,5.03,17.37,3.37
FAM83G,16.87,9.62,6.66,9.59,2.39,9.81,4.98,7.94,7.23,18.02,20.62,16.49,2.96,14.73,8.19,4.8
FAM83H,16.67,49.05,51.09,57.73,43.91,103.81,60.22,47.16,39.88,72.93,21.53,26.73,6.78,33.46,65.17,29.81
FAM84A,0.22,0.29,9.15,2.78,10.16,0.04,1.23,2.15,0.01,2.39,5.55,2.63,0.04,4.42,0.08,24.24
FAM84B,11.72,21.65,94.62,82.27,97.19,78.04,88.67,194.1,52.22,175.5,28.19,312.22,80.32,40.51,5.09,115.68
FAM86A,16.08,6.1,15.04,14.27,11.22,11.82,17.66,9.7,13.62,18.76,13.27,15.93,18.47,6.78,17.42,13.38
FAM86B1,5.74,3.81,1.48,2.61,1.09,2.53,0.06,2.37,1.44,5.69,11.02,2.19,8.44,1.83,5.58,2.0
FAM86B2,1.34,0.32,0.59,1.78,0.0,0.12,0.0,0.53,1.13,0.67,1.19,0.0,0.17,0.0,0.26,0.33
FAM86C1,5.41,8.13,7.72,9.85,11.85,10.91,4.9,3.06,8.24,11.8,12.06,16.16,9.99,4.05,8.78,11.99
FAM89A,4.15,12.16,3.4,1.41,0.04,4.37,0.12,10.22,0.33,1.41,4.21,4.91,5.45,7.22,32.8,11.72
FAM89B,26.14,29.73,16.93,23.67,56.06,36.87,29.12,27.4,17.65,14.39,52.97,14.67,48.69,73.28,33.17,25.87
FAM8A1,3.83,6.57,11.49,9.08,16.41,10.25,3.7,2.92,17.02,3.22,13.36,17.05,15.51,11.42,5.88,11.02
FAM90A1,0.44,0.45,0.07,0.01,0.0,0.24,0.2,0.02,0.01,1.31,0.04,0.14,0.23,0.1,1.17,0.14
FAM90A26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM91A1,54.95,30.75,28.98,49.68,62.0,44.38,42.01,43.71,22.61,93.61,59.68,114.88,63.25,6.68,34.85,64.31
FAM92A1,15.58,10.54,1.85,3.81,5.25,15.69,3.9,19.63,4.66,25.22,23.59,57.33,5.99,4.61,27.31,7.07
FAM92B,0.06,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.01,0.01,0.0,0.0
FAM96A,115.84,63.29,87.27,114.42,70.16,78.97,136.76,125.81,80.04,121.59,72.96,56.99,107.84,41.29,91.32,77.59
FAM96B,151.7,58.2,47.29,100.36,243.01,187.61,132.44,112.28,62.73,97.88,139.1,81.66,171.62,70.03,106.54,174.91
FAM98A,45.08,61.42,68.39,71.0,34.6,39.85,49.42,46.78,64.48,39.67,58.47,122.57,64.2,47.24,63.41,94.66
FAM98B,10.02,10.02,5.86,9.61,7.76,10.07,11.03,7.95,11.03,21.97,7.35,3.35,10.48,13.06,11.78,16.49
FAM98C,17.81,13.43,15.11,26.13,29.2,23.71,18.15,46.68,10.58,8.93,13.57,27.04,36.99,3.23,13.99,13.09
FAM9A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
FAM9B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
FAM9C,0.03,0.02,0.01,0.01,0.05,0.03,0.0,0.03,0.01,0.01,0.16,0.0,30.05,0.03,0.01,130.33
FAN1,16.28,14.03,8.05,7.41,8.4,9.45,13.26,12.21,13.96,28.01,20.3,10.87,6.93,9.34,12.1,10.06
FANCA,46.19,32.39,5.59,36.47,35.62,54.85,56.39,56.18,39.6,56.86,38.81,14.83,24.96,35.51,35.58,49.17
FANCB,1.82,4.08,0.67,1.92,2.74,2.51,3.59,1.99,2.5,3.78,2.22,1.96,2.47,1.44,5.1,4.27
FANCC,6.56,5.99,3.24,8.72,11.9,16.73,13.75,8.53,4.9,10.37,27.94,7.18,12.55,10.0,3.38,12.49
FANCD2,42.69,24.71,8.05,27.03,26.26,52.13,32.63,41.75,50.31,70.34,73.65,39.12,29.12,23.87,19.99,51.85
FANCD2OS,0.11,0.1,0.0,0.2,0.17,0.31,0.0,4.07,0.1,0.15,0.31,0.21,0.09,0.05,0.0,0.18
FANCE,6.66,12.08,3.11,3.8,5.33,7.65,5.25,8.62,6.83,8.98,5.03,3.59,6.72,9.96,10.23,7.38
FANCF,3.32,5.01,8.01,5.81,12.96,2.99,3.12,2.94,9.18,5.52,4.43,2.9,6.92,10.9,7.08,2.93
FANCG,39.24,94.36,13.22,35.63,62.21,60.26,83.71,70.53,43.04,61.5,31.38,20.5,47.36,46.88,43.18,35.28
FANCI,106.11,55.27,26.01,90.4,68.28,18.28,95.55,52.33,70.47,145.52,111.77,51.85,66.38,37.98,64.44,85.48
FANCL,30.93,18.29,5.18,18.41,25.57,36.5,31.86,32.73,11.46,41.63,33.84,14.71,22.78,15.75,20.68,19.09
