,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
KRTCAP2,172.9,282.12,568.24,232.09,151.7,194.35,260.25,269.68,197.81,136.88,157.53,122.63,175.33,196.93,252.22,298.0
KRTCAP3,0.96,56.77,1.04,46.9,9.69,42.86,52.02,23.22,1.47,34.77,49.1,2.19,4.83,7.18,137.24,2.41
KRTDAP,0.0,0.12,0.0,0.81,0.13,1.08,0.28,0.95,0.0,0.1,0.09,0.0,0.27,0.0,0.0,0.0
KSR1,5.09,2.51,12.82,25.28,7.04,9.79,6.28,1.78,0.9,34.7,10.83,0.7,2.31,9.26,3.66,12.18
KSR2,0.13,0.19,0.17,0.76,0.03,0.59,0.0,0.84,0.85,1.23,0.83,0.7,0.42,0.0,0.03,0.06
KTI12,14.97,11.51,9.7,10.02,20.74,7.05,9.77,9.26,4.4,11.14,7.55,11.44,10.79,24.17,17.69,11.36
KTN1,226.11,55.92,55.88,76.84,99.69,90.92,200.26,115.29,58.52,163.55,445.18,52.45,145.83,99.48,57.79,163.01
KXD1,136.96,74.39,45.9,97.59,74.3,92.81,89.4,84.55,57.8,108.2,64.22,57.52,117.08,142.75,97.77,61.28
KY,0.04,2.02,0.01,0.04,0.0,0.14,0.04,0.03,0.01,0.03,0.05,0.0,0.0,0.21,0.06,0.12
KYNU,77.72,0.11,0.16,197.22,1.38,2.52,0.52,0.11,27.69,0.1,0.16,0.3,7.79,0.17,2.18,59.08
L1CAM,13.71,23.13,0.74,19.08,0.1,13.41,1.36,5.87,9.97,148.47,145.36,0.25,15.75,18.68,17.99,13.57
L1TD1,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.01,0.0,0.0,0.01,0.0,0.07
L2HGDH,12.93,12.24,9.71,28.01,18.55,20.37,14.81,7.02,24.17,13.88,23.18,9.57,27.84,7.82,3.91,15.45
L34079.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
L3HYPDH,61.39,7.96,10.71,9.74,4.01,23.45,16.47,6.15,16.99,29.47,19.6,8.6,7.51,20.19,9.29,11.64
L3MBTL1,3.95,10.42,0.03,1.75,16.29,11.19,1.53,13.19,10.54,5.48,15.8,2.58,3.74,1.14,5.37,0.84
L3MBTL2,26.24,13.38,17.45,10.82,11.0,13.3,22.4,11.07,11.6,33.08,15.13,22.95,8.06,12.59,26.34,13.67
L3MBTL3,1.44,7.38,1.52,0.02,0.03,0.41,2.25,1.63,7.31,1.16,5.45,0.01,1.31,6.06,1.15,4.51
L3MBTL4,0.0,2.13,0.14,0.0,0.01,0.06,0.14,10.43,0.0,3.7,3.25,0.0,0.01,9.35,2.34,0.06
L47234.1,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
LA16c-431H6.6,0.14,0.12,0.13,0.21,0.42,0.27,0.44,0.41,0.3,0.46,0.21,0.29,0.36,0.12,0.05,0.22
LACC1,3.72,0.36,0.16,3.07,0.71,3.02,4.61,2.73,0.65,1.79,4.3,2.51,1.62,1.71,1.0,3.57
LACE1,2.56,2.57,1.37,1.1,1.36,2.68,1.7,1.69,1.78,3.48,1.42,2.08,1.45,1.77,1.17,2.87
LACRT,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.13,0.0,0.0,0.05,0.0,0.0
LACTB,23.13,19.12,11.64,25.46,10.66,9.74,7.93,9.49,11.17,29.91,26.75,7.55,12.72,9.04,8.12,20.01
LACTB2,21.95,46.99,14.85,45.02,36.68,41.39,42.51,26.89,50.76,45.92,39.34,12.74,57.72,14.22,57.4,65.17
LACTBL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAD1,0.1,21.47,135.91,50.73,17.86,58.75,169.6,14.14,15.13,48.38,44.46,3.72,23.05,54.58,71.14,79.26
LAG3,0.5,0.89,1.38,0.56,1.94,2.02,0.35,1.99,0.37,2.46,1.89,0.35,4.79,1.84,1.65,0.38
LAGE3,161.03,39.5,24.76,118.26,129.48,34.13,115.31,52.36,24.42,27.99,74.12,10.22,117.46,37.48,90.95,23.32
LAIR1,0.1,0.05,0.01,0.01,0.15,0.04,0.03,0.07,0.04,0.46,0.01,0.03,0.11,0.19,7.01,0.01
LAIR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LALBA,0.0,99.21,0.0,0.15,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
LAMA1,0.11,0.04,0.01,0.01,0.02,0.23,0.09,1.4,0.01,0.31,0.98,0.03,0.02,0.03,0.07,0.14
LAMA2,1.3,0.51,0.01,0.0,0.09,1.91,1.15,0.84,0.01,0.79,5.24,0.0,0.02,0.05,2.04,0.63
LAMA3,7.49,0.93,0.07,8.33,23.48,104.93,117.52,1.3,9.07,340.95,23.85,0.63,20.34,0.97,0.4,24.77
LAMA4,3.96,0.55,0.06,0.16,0.21,70.76,3.7,9.79,0.07,4.24,7.42,0.02,0.18,2.46,1.43,0.44
LAMA5,82.72,119.71,48.09,96.37,114.81,254.59,119.39,95.82,244.21,209.78,94.34,209.9,126.52,58.63,94.09,151.38
LAMB1,133.05,89.68,10.69,12.74,2.17,57.67,28.66,7.61,38.95,124.1,70.29,28.8,40.74,76.33,210.37,57.04
LAMB2,143.94,98.98,118.18,115.75,98.18,206.73,136.44,141.77,360.25,277.28,120.32,80.14,35.68,75.45,87.5,107.68
LAMB3,101.05,0.33,5.75,0.89,1.11,152.95,183.08,11.1,1.86,295.5,90.01,0.22,4.16,0.88,7.88,67.36
LAMB4,0.37,0.0,0.03,0.04,0.01,0.0,0.0,0.05,0.0,0.37,0.04,0.0,0.17,0.01,0.03,0.13
LAMC1,183.88,44.2,1.94,11.07,9.65,102.53,117.98,33.77,25.29,99.99,61.68,6.0,8.31,47.02,140.2,76.63
LAMC2,9.07,3.05,1.93,1.7,0.45,189.2,201.15,4.61,2.72,306.62,54.08,0.28,1.59,1.62,0.38,1.11
LAMC3,8.31,0.0,0.01,0.06,0.01,1.71,0.0,1.12,0.02,18.53,0.51,0.01,0.14,0.29,32.64,0.48
LAMP1,177.35,60.96,155.35,94.08,131.03,355.19,218.89,23.95,168.81,228.82,93.6,120.75,121.91,248.67,228.78,159.16
LAMP2,223.2,24.96,45.21,141.57,149.14,84.78,211.96,222.26,57.37,216.6,78.74,61.7,141.79,126.5,113.07,253.52
LAMP3,1.56,2.08,0.0,0.04,0.11,12.58,1.15,0.64,0.6,30.06,2.63,0.0,1.15,3.89,1.88,4.87
LAMP5,0.05,0.0,0.01,0.02,0.02,0.01,0.0,0.29,0.02,0.03,0.12,0.0,0.04,0.23,0.03,0.0
LAMTOR1,52.18,71.94,60.9,108.61,319.29,71.33,72.55,35.87,133.37,48.28,114.7,140.04,138.59,91.04,82.34,116.78
LAMTOR2,69.78,201.73,124.03,92.7,176.29,140.48,94.16,98.83,134.31,51.11,87.24,101.94,131.7,93.91,90.7,146.6
LAMTOR3,38.26,16.52,23.52,17.54,45.27,33.22,27.83,15.99,25.99,9.61,47.03,35.21,37.25,21.64,29.12,40.91
LAMTOR4,246.96,95.71,80.78,227.49,208.82,101.97,168.29,103.84,105.73,43.64,124.17,53.37,117.64,100.03,166.87,163.0
LAMTOR5,115.34,168.98,206.84,201.17,269.01,249.92,258.18,228.46,126.8,96.67,207.86,232.72,261.17,53.12,163.3,222.48
LANCL1,26.85,15.31,6.46,16.65,17.11,17.38,15.97,15.28,20.56,26.95,53.11,14.39,31.98,20.13,30.85,16.87
LANCL2,14.73,7.97,11.55,8.15,16.87,12.11,16.95,4.69,7.55,14.03,24.61,19.78,14.24,27.87,14.76,12.81
LANCL3,0.04,0.87,0.0,0.02,0.02,1.2,0.58,0.05,0.0,0.87,0.24,0.01,0.07,0.22,0.02,0.27
LAP3,46.18,54.84,28.23,50.23,29.4,85.0,63.55,49.03,30.77,68.14,59.39,128.44,48.59,68.88,53.97,107.6
LAPTM4A,218.75,151.8,224.2,297.07,199.83,226.69,283.52,190.06,109.02,138.47,246.34,327.26,341.55,252.8,164.63,183.02
LAPTM4B,84.31,196.55,185.29,134.25,196.22,262.63,229.04,101.67,75.39,136.01,181.48,170.26,546.36,166.25,420.22,456.94
LAPTM5,1.53,0.29,0.05,0.17,0.88,1.42,0.66,0.25,0.21,1.79,0.3,0.19,0.32,0.42,0.45,0.31
LARGE,10.62,3.07,9.02,8.64,38.95,1.74,5.36,3.53,16.1,0.04,3.07,29.9,29.02,5.39,8.61,0.32
LARP1,108.59,127.12,117.85,97.7,63.14,132.56,66.81,109.65,84.07,123.45,87.4,49.99,81.85,103.88,118.61,102.6
LARP1B,31.93,15.6,11.52,10.63,9.49,27.87,7.25,14.89,6.52,11.06,27.52,21.56,11.4,10.09,8.42,15.11
LARP4,18.53,16.15,20.92,25.28,22.56,21.69,20.67,20.2,20.44,30.17,32.23,38.49,23.0,23.38,21.83,47.78
LARP4B,18.34,57.11,30.72,38.32,54.0,26.82,81.79,34.95,45.52,53.12,53.2,30.25,68.77,80.39,40.95,57.59
LARP6,140.58,5.48,0.19,2.13,4.71,25.86,23.41,15.21,2.62,19.46,55.94,1.17,2.67,4.17,59.89,5.72
LARP7,82.06,25.72,27.26,26.38,40.99,52.23,29.3,25.78,30.0,24.84,22.44,23.0,29.55,35.22,43.74,51.15
LARS,97.06,119.11,60.77,55.63,52.85,79.49,55.66,78.97,73.16,92.05,47.15,28.46,34.86,36.44,75.2,48.93
LARS2,18.01,12.91,5.98,6.92,6.76,13.66,7.8,5.51,16.12,7.67,6.57,12.77,5.05,7.94,10.66,19.37
LAS1L,37.59,50.05,33.44,37.33,39.32,34.21,35.42,26.1,24.11,70.92,34.25,42.3,76.49,41.25,60.39,52.75
LASP1,80.72,63.67,37.11,45.24,53.61,231.44,138.5,35.74,201.15,88.76,248.46,157.61,91.38,85.58,79.67,250.76
LAT,5.04,3.18,0.74,2.32,4.69,4.58,3.08,3.43,4.58,20.37,2.41,3.05,4.47,2.89,1.95,2.38
LAT2,0.8,0.61,0.11,0.44,1.15,1.59,0.52,1.04,1.95,2.7,7.81,0.72,1.44,1.39,0.98,0.83
LATS1,9.81,2.57,4.27,7.92,11.46,4.12,5.6,12.08,5.84,20.1,8.76,8.46,4.79,8.94,5.04,6.06
LATS2,5.39,5.3,1.41,4.97,1.09,4.33,3.33,4.25,5.84,9.73,15.32,4.66,3.43,8.84,8.87,8.04
LAX1,0.02,0.0,0.0,0.03,0.01,0.06,0.01,0.01,0.0,0.05,0.0,0.0,0.0,0.01,0.14,0.01
LAYN,0.13,0.09,0.02,0.06,0.13,2.56,2.39,0.14,0.06,0.13,1.27,0.03,0.1,1.06,8.94,0.12
LBH,21.24,0.26,0.27,0.05,0.18,4.08,0.32,24.98,0.02,9.51,88.68,0.0,0.14,273.21,16.31,0.68
LBP,0.19,0.01,0.13,0.01,0.0,0.02,0.12,0.07,0.03,0.0,0.0,0.03,0.02,8.12,0.02,50.98
LBR,33.04,46.36,20.61,6.52,20.56,38.82,60.31,47.81,26.37,22.15,51.12,11.37,28.63,84.62,76.6,47.74
LBX1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01
LBX2,0.07,0.38,0.05,2.93,4.2,4.27,0.59,0.45,0.06,3.45,6.11,0.78,0.75,0.39,2.82,0.04
LCA10,0.03,0.04,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.25,0.22,0.0,0.0,0.0,0.0,0.0
LCA5,0.93,0.3,0.01,0.43,1.56,1.69,0.12,0.65,0.18,3.06,0.98,2.84,0.48,0.49,0.61,2.41
LCA5L,0.6,1.48,1.31,5.52,7.76,1.13,1.37,0.99,4.11,1.09,1.48,1.97,2.86,0.44,1.25,3.55
LCAT,11.18,3.41,0.92,1.58,4.32,14.07,5.28,0.22,21.74,8.81,7.6,2.89,10.91,10.64,6.31,7.98
LCE1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE1B,0.0,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE1C,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE1E,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE1F,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE2A,0.0,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE3C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE3D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
LCE3E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE5A,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
LCE6A,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCK,0.33,0.03,0.02,0.02,0.38,0.11,0.33,0.12,0.36,9.9,0.65,0.34,0.2,1.52,0.23,0.07
LCLAT1,7.66,4.49,3.42,7.5,6.29,7.78,5.49,7.81,4.85,10.06,16.28,8.75,8.15,5.26,9.68,12.9
LCMT1,44.35,21.35,31.24,40.41,41.53,38.01,29.46,21.29,39.73,32.44,32.74,54.43,39.88,28.75,21.71,28.19
LCMT2,4.27,6.05,8.73,8.07,7.76,6.47,6.56,1.17,8.5,10.35,9.86,7.36,4.66,9.93,6.54,1.42
LCN1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCN10,0.02,0.01,0.05,0.0,0.02,0.01,0.0,0.01,0.0,0.09,0.04,0.0,0.01,0.03,0.1,0.04
LCN12,1.85,9.11,0.44,1.04,3.33,2.65,0.76,2.85,5.2,0.96,1.82,1.21,0.76,0.87,0.41,0.53
LCN15,0.02,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.07,0.11,0.0,0.0
LCN2,8.21,166.98,0.26,0.94,1.71,2182.4,311.8,22.68,0.85,397.31,13.75,0.46,1.42,14.32,476.62,430.88
LCN6,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.065,0.0,0.0
LCN8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0
LCN9,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCNL1,0.18,0.0,0.01,0.0,0.06,0.04,0.0,0.04,0.12,0.3,0.01,0.01,0.07,0.21,0.17,0.02
LCOR,4.18,5.28,4.2,6.9,5.67,4.72,9.18,10.98,6.67,13.93,10.6,11.5,8.07,11.37,7.19,9.15
LCORL,3.65,2.85,1.25,3.48,4.44,3.96,2.98,4.92,3.3,5.05,4.46,4.99,3.08,4.69,3.91,4.19
LCP1,301.93,0.51,3.12,7.33,5.67,94.64,4.74,2.26,3.16,1.87,303.33,12.34,13.36,3.03,3.11,6.54
LCP2,0.2,0.04,0.0,0.02,0.04,0.01,0.03,0.01,0.0,0.07,0.01,0.04,0.39,0.12,0.11,0.06
LCT,0.01,0.54,0.0,0.01,0.0,0.03,0.01,1.14,0.0,0.05,0.39,0.05,0.05,0.03,0.0,0.01
LCTL,6.43,0.14,0.16,0.35,0.33,0.31,0.24,0.76,0.27,1.17,0.46,0.12,0.19,0.08,0.5,0.25
LDB1,32.9,54.48,31.54,39.34,42.31,16.81,24.74,38.01,125.26,46.92,34.94,24.69,80.69,40.39,51.21,31.25
LDB2,0.35,0.01,0.01,0.07,0.01,0.11,0.0,0.0,0.0,0.02,0.05,0.01,0.04,0.04,0.0,0.0
LDB3,0.08,0.02,0.08,0.19,0.12,0.06,0.08,0.1,0.2,0.2,1.32,0.26,0.27,0.88,0.25,0.19
LDHA,747.06,443.52,587.43,398.37,386.48,615.38,552.96,478.09,421.38,626.29,726.26,604.13,762.09,737.54,1579.3,911.71
LDHAL6A,0.03,0.03,0.02,0.0,0.02,0.01,0.01,0.06,0.06,0.08,0.04,0.04,0.05,0.05,0.03,0.06
LDHAL6B,0.11,0.02,0.02,0.02,0.02,0.19,0.09,0.1,0.01,0.46,0.04,0.08,0.04,0.07,0.07,0.06
LDHB,269.78,626.18,739.68,1.95,3.39,828.62,32.65,681.24,2.25,323.93,356.8,2.85,211.18,1269.1,787.03,13.91
LDHC,0.05,3.09,0.84,0.03,0.26,1.02,0.23,0.51,0.0,0.0,0.07,0.56,0.79,1.97,1.96,0.0
LDHD,0.38,0.53,2.64,7.15,1.01,3.2,2.96,0.21,32.97,0.62,0.06,2.57,1.66,0.06,3.84,0.87
LDLR,22.07,67.8,50.39,61.24,31.2,77.01,88.87,59.09,24.89,60.71,55.79,113.2,18.23,94.85,92.54,110.97
LDLRAD1,0.0,0.0,0.61,0.48,0.0,0.88,0.3,0.0,0.41,0.0,0.0,4.04,0.12,0.0,0.15,0.0
LDLRAD2,0.71,0.44,0.07,0.07,0.25,1.46,0.31,0.01,0.24,1.07,0.2,2.36,0.61,0.14,0.47,0.04
LDLRAD3,0.19,9.58,6.5,5.74,14.76,8.07,3.17,12.72,6.62,17.29,9.86,3.49,40.77,10.28,45.47,10.04
LDLRAD4,0.08,5.54,8.42,2.09,26.92,0.7,8.73,13.82,5.98,1.79,12.74,1.26,1.74,8.0,6.24,0.73
LDLRAP1,12.18,19.57,17.88,10.31,15.26,14.28,41.42,7.86,13.32,16.46,10.74,30.86,41.25,9.78,6.83,28.94
LDOC1,45.37,33.39,30.0,125.9,63.12,4.91,50.67,25.99,20.97,27.89,109.7,13.17,150.12,55.27,31.21,65.52
LDOC1L,29.72,14.66,10.73,8.85,8.06,10.8,16.93,8.44,6.48,26.9,27.18,9.08,9.88,13.81,9.29,12.48
LEAP2,1.26,3.31,1.34,1.92,3.06,1.55,1.83,3.5,1.74,3.36,1.32,1.51,1.28,1.08,2.01,1.66
LECT1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LECT2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
LEF1,6.13,0.17,0.15,0.14,12.88,0.21,0.14,0.92,3.11,0.46,0.31,5.65,0.42,0.88,1.75,0.52
LEFTY1,0.22,0.03,0.69,0.05,0.01,0.23,0.17,0.31,0.03,0.05,0.03,0.14,0.02,0.18,0.14,0.04
LEFTY2,0.04,0.46,0.02,0.0,0.01,0.0,0.0,1.18,0.0,0.0,0.03,0.01,0.0,0.27,0.07,0.0
LEKR1,1.06,0.95,0.24,1.12,1.2,4.51,0.82,1.33,1.13,0.35,0.65,2.79,1.06,0.21,1.05,0.62
LELP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEMD1,3.58,3.68,0.0,0.28,0.0,4.26,20.58,0.15,0.0,3.18,1.06,0.0,0.04,0.07,3.07,9.53
LEMD2,51.54,19.37,30.99,31.18,40.36,49.53,37.03,31.54,45.32,49.54,35.35,49.28,42.84,55.71,38.46,63.66
LEMD3,10.07,6.42,6.35,11.9,18.11,9.88,11.82,18.73,15.92,18.6,23.62,16.23,23.41,11.39,14.15,15.6
LENEP,0.38,0.44,0.12,0.24,1.37,0.2,0.19,0.48,0.38,0.0,0.34,0.18,0.15,0.35,0.24,0.17
LENG1,6.28,4.26,7.32,11.22,12.37,15.32,7.85,2.41,5.83,7.68,9.2,10.92,19.7,9.17,5.95,6.62
LENG8,145.26,92.14,63.83,105.01,163.66,295.71,55.57,61.09,88.58,115.88,122.05,61.11,85.29,101.78,68.68,66.36
LENG9,2.5,4.98,7.37,4.01,3.11,5.76,3.21,2.32,2.97,1.15,2.74,4.09,1.41,3.56,2.05,2.66
LEO1,21.59,17.62,70.44,76.13,23.49,20.56,53.66,19.3,34.97,33.81,33.04,81.95,36.36,19.83,34.28,49.18
LEP,0.01,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0
LEPR,1.61,0.42,0.67,1.7,0.81,0.9,2.97,2.17,2.83,9.92,0.3,0.23,2.09,2.13,0.44,2.72
LEPRE1,61.91,9.07,2.32,9.22,14.61,14.92,13.37,5.87,4.76,17.84,23.19,8.57,8.9,33.21,29.63,17.67
LEPREL1,89.21,1.3,0.04,0.08,0.13,191.66,121.72,0.67,0.08,95.31,128.6,0.07,0.22,33.65,4.02,63.0
LEPREL4,23.61,10.66,4.84,19.14,20.8,34.24,14.2,12.39,37.18,23.37,43.15,9.69,18.78,2.12,13.76,9.2
LEPROT,27.69,12.24,13.58,15.11,48.89,22.18,65.06,39.47,22.6,35.69,34.55,19.35,25.38,24.55,25.44,34.58
LEPROTL1,32.76,29.22,19.6,23.66,35.16,23.66,10.58,19.04,22.26,20.61,27.61,32.17,13.02,40.78,34.17,18.67
LETM1,12.22,33.52,22.39,25.0,21.08,18.35,22.76,37.51,27.55,39.5,30.69,33.28,21.29,62.78,39.7,29.11
LETM2,2.49,0.47,0.16,1.41,4.83,10.41,0.49,3.08,2.82,1.4,1.81,2.69,1.59,1.02,1.39,1.24
LETMD1,44.62,43.47,32.04,52.84,47.72,53.14,41.42,49.06,82.23,64.3,40.82,28.83,30.1,30.55,49.6,36.48
LEUTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
LFNG,1.67,0.82,10.87,9.02,6.72,13.39,0.52,1.4,5.78,2.71,12.98,36.09,1.87,48.93,2.15,3.05
LGALS1,4422.3,1608.7,161.38,340.48,991.25,1690.3,938.06,370.6,1422.2,2817.6,2701.2,110.44,394.04,1445.9,2149.6,656.6
LGALS12,0.03,0.07,0.0,0.04,0.0,0.09,0.03,0.0,0.05,0.0,0.0,0.06,0.0,0.52,0.02,0.0
LGALS13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
LGALS14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGALS16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGALS2,0.06,0.0,0.0,0.0,0.0,0.05,0.13,0.04,0.05,0.0,0.06,0.06,0.0,0.05,0.6,0.0
LGALS3,3.24,6.75,163.94,246.73,2.22,261.28,294.64,148.29,167.63,161.52,151.11,128.54,54.24,1.0,51.23,217.14
LGALS3BP,168.7,245.07,49.76,48.71,9.54,340.86,54.04,2.57,46.63,1051.4,8.71,8.3,3.5,317.28,24.25,203.73
LGALS4,0.8,0.41,2.32,0.52,0.5,0.67,0.83,0.46,0.83,2.12,0.88,1.34,0.57,1.26,1.89,1.29
LGALS7,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.05,0.06,0.15,0.0,0.0,0.06,0.0,0.54,0.0
LGALS7B,0.09,0.0,0.0,0.14,0.0,3.05,1.51,0.89,0.0,0.11,0.24,0.0,0.0,0.0,0.34,0.0
LGALS8,17.46,23.57,96.76,56.23,102.94,86.01,56.44,10.92,50.7,42.98,49.06,75.48,89.06,16.82,26.81,137.23
LGALS9,12.1,25.39,9.09,0.97,0.34,49.55,93.36,0.23,0.06,24.42,4.57,0.33,0.57,202.21,1.3,117.9
LGALS9B,0.0,0.0,1.87,0.0,0.02,0.6,0.87,0.03,0.0,0.09,0.17,0.01,0.0,0.0,0.03,3.01
LGALS9C,0.0,0.02,1.21,0.02,0.01,0.51,1.35,0.07,0.0,0.26,0.0,0.0,0.01,0.0,0.0,5.05
LGALSL,6.12,12.89,9.05,2.85,10.45,6.43,4.31,30.45,5.63,6.58,9.67,10.2,15.36,5.58,11.23,6.82
LGI1,0.0,0.0,0.0,0.03,2.13,0.0,0.0,0.0,0.92,0.0,0.0,0.02,68.54,0.0,0.0,0.0
LGI2,0.15,0.37,0.08,0.06,0.03,0.11,0.0,0.64,0.03,0.04,0.07,0.89,0.26,0.3,0.04,0.04
LGI3,0.14,0.02,0.0,0.02,0.11,0.11,0.02,0.01,0.16,0.02,0.03,0.04,0.13,0.19,0.01,0.07
LGI4,1.2,0.36,0.23,0.07,0.32,1.29,0.61,0.77,0.14,0.61,0.04,0.08,0.22,0.04,0.09,1.66
LGMN,191.21,32.42,46.05,57.14,1.06,79.13,102.27,19.32,39.22,131.98,47.86,17.26,18.6,53.58,60.75,72.97
LGR4,9.98,10.95,7.34,15.01,35.18,7.1,8.18,10.33,7.67,10.13,21.45,14.41,34.08,113.2,3.47,17.4
LGR5,0.11,0.01,0.04,0.0,0.14,0.0,0.04,0.1,0.0,22.64,5.06,0.01,0.02,0.88,0.01,0.14
LGR6,4.14,0.2,0.01,0.13,0.06,3.55,5.44,0.9,0.03,2.24,0.2,0.02,0.19,0.1,0.06,0.09
LGSN,0.01,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.06,0.05,0.02,0.0,0.01,0.02,0.02
LHB,0.15,0.22,0.09,0.06,0.61,0.44,0.42,0.16,0.61,0.93,1.78,0.5,0.65,0.2,0.27,0.33
LHCGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
LHFP,31.16,0.64,0.5,0.04,0.04,10.75,0.39,0.81,6.45,9.17,5.21,0.08,24.72,3.23,4.89,0.58
LHFPL1,0.0,0.04,0.0,0.0,0.93,0.0,0.01,0.1,0.0,0.08,0.07,0.0,0.03,0.13,0.03,0.1
