,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
CSAG1,0.71,1.17,0.29,0.17,0.0,41.3,0.99,1.33,0.31,0.04,0.0,0.04
CSDC2,0.0,0.01,0.0,0.06,0.08,0.07,0.03,0.08,0.73,0.01,0.02,0.16
CSDE1,336.22,169.52,171.21,91.68,140.17,99.08,126.75,151.06,152.42,238.2,126.63,187.84
CSE1L,119.68,104.54,128.55,62.58,130.84,93.8,154.03,67.41,226.05,52.68,89.35,91.26
CSF1,9.88,0.1,0.81,1.05,2.0,10.19,0.28,0.82,3.17,0.09,0.32,0.11
CSF1R,0.0,0.03,0.23,0.21,0.03,0.49,0.2,0.03,0.05,0.0,0.03,0.07
CSF2,0.0,0.06,0.07,0.72,0.0,18.01,2.09,1.13,1.72,1.35,0.0,0.03
CSF2RA,0.035,0.015,0.0,2.125,0.0,0.055,0.38,0.02,8.185,2.455,0.0,2.26
CSF2RB,0.04,0.01,0.11,0.01,0.01,0.03,0.06,0.01,0.06,0.0,0.01,0.01
CSF3,0.08,0.13,0.11,0.2,0.06,5.09,0.12,0.0,0.12,0.19,0.0,0.06
CSF3R,0.48,0.01,0.17,0.06,0.0,0.05,0.14,0.0,0.15,0.0,0.03,0.07
CSGALNACT1,1.87,0.36,0.23,0.14,0.23,0.02,0.49,0.85,0.34,1.12,0.32,2.36
CSGALNACT2,11.16,9.63,2.89,3.29,12.72,4.22,6.72,2.57,9.54,1.66,1.39,7.74
CSH1,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSH2,0.19,0.01,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
CSHL1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSK,51.19,56.1,24.48,21.05,47.76,72.59,43.88,56.84,33.43,46.73,37.26,16.57
CSMD1,0.0,0.0,0.02,0.0,0.0,10.14,0.09,0.0,0.0,0.0,0.0,0.0
CSMD2,0.02,0.0,0.01,0.01,0.0,0.41,0.02,0.02,0.03,0.02,0.0,0.0
CSMD3,0.11,0.28,0.19,0.1,0.04,2.02,1.38,0.0,0.09,0.08,0.0,0.0
CSN1S1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
CSN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
CSNK1A1,159.56,80.84,112.92,107.08,72.54,73.33,138.33,92.54,220.52,91.64,62.84,83.12
CSNK1A1L,0.04,0.0,0.04,0.02,0.0,0.01,0.01,0.01,0.0,0.01,0.02,0.03
CSNK1D,85.29,145.87,77.56,49.22,147.07,119.56,92.15,103.37,89.11,67.33,92.69,66.92
CSNK1E,179.11,120.29,41.61,53.32,151.93,140.07,63.42,59.02,61.8,30.93,64.78,115.02
CSNK1G1,9.15,5.26,3.18,3.59,5.37,7.13,6.14,6.08,10.3,4.39,4.38,5.48
CSNK1G2,52.62,53.52,38.28,35.67,39.04,62.14,51.88,67.77,28.04,34.49,46.94,36.64
CSNK1G3,26.89,14.49,15.23,13.93,13.96,7.62,9.88,13.24,41.69,14.91,18.48,22.59
CSNK2A1,111.93,90.15,92.16,24.64,51.75,83.2,36.62,45.1,45.72,24.49,68.88,52.59
CSNK2A2,82.73,56.39,29.31,16.12,33.76,29.95,35.36,36.59,42.03,44.69,30.86,28.91
CSNK2A3,3.65,2.64,2.83,1.23,1.23,1.85,1.35,1.45,1.52,0.55,1.96,2.2
CSNK2B,116.91,144.79,144.7,74.23,103.17,185.88,165.0,144.82,139.1,80.51,125.16,55.42
CSNK2B-LY6G5B-1181,3.32,4.98,2.83,5.71,8.13,1.4,4.71,5.28,3.76,0.73,2.17,2.51
CSPG4,0.66,0.19,0.18,0.19,0.13,43.03,0.16,0.15,0.64,0.07,0.15,0.04
CSPG5,1.55,0.27,0.29,0.19,0.31,0.11,0.62,0.26,1.17,0.24,0.66,0.44
CSPP1,10.38,10.29,12.45,7.83,15.81,3.66,5.83,6.42,10.68,7.07,16.2,11.9
CSRNP1,4.04,2.88,5.44,4.48,3.27,11.72,6.93,12.5,3.93,3.21,3.88,3.17
CSRNP2,18.5,9.76,7.24,6.21,12.32,17.91,12.7,11.04,11.05,4.25,5.79,11.12
CSRNP3,2.27,1.37,0.01,0.01,0.0,0.93,0.02,0.0,2.59,0.0,0.38,1.86
CSRP1,89.37,48.33,72.47,17.54,55.66,17.82,69.29,49.24,63.16,83.13,67.03,19.4
CSRP2,8.12,78.11,1.49,0.42,17.97,79.16,8.78,0.27,6.61,0.6,1.25,22.09
CSRP2BP,7.53,7.12,11.88,5.01,6.17,17.14,6.64,10.68,2.99,5.12,14.18,7.94
CSRP3,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.01
CST1,0.42,0.33,23.8,0.3,0.04,0.16,11.26,0.18,0.31,0.06,206.17,0.0
CST11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.0,0.0
CST2,0.0,0.0,0.31,0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.0,0.0
CST3,76.82,194.52,343.58,66.34,32.93,251.32,1103.5,226.22,101.09,108.61,184.72,56.44
CST4,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2.61,0.0
CST5,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.1,0.0,0.0
CST6,0.51,0.16,4.53,1.46,0.04,0.08,6.78,6.72,74.7,0.32,0.08,0.31
CST7,0.71,39.04,0.29,0.88,0.06,4.63,5.62,0.99,3.5,18.07,0.09,0.07
CST8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CST9,0.0,0.01,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.01,0.0
CST9L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSTA,2.14,0.03,0.08,1.64,0.0,0.38,0.44,0.65,1.81,0.29,0.17,1.56
CSTB,41.63,32.91,135.51,42.87,32.42,175.32,65.02,129.94,85.81,42.77,102.66,82.01
CSTF1,21.97,42.29,37.88,19.92,19.98,39.91,70.98,24.74,55.97,68.43,44.15,38.04
CSTF2,18.99,53.86,20.73,14.32,13.75,35.93,34.08,61.58,25.48,22.78,16.04,11.8
CSTF2T,6.78,23.36,6.0,2.88,5.94,12.7,14.52,15.74,12.85,9.25,8.87,4.88
CSTF3,43.35,62.85,43.06,31.14,36.26,50.82,32.59,36.59,51.75,25.78,36.47,26.99
CSTL1,0.0,0.06,0.0,0.0,0.0,0.0,0.27,0.15,0.0,0.13,0.45,0.06
CT45A1,0.12,0.0,0.0,0.0,0.07,0.04,0.0,0.02,0.0,0.0,0.0,0.07
CT45A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.03,0.07
CT45A3,0.08,0.1,0.0,0.05,0.12,0.0,0.07,0.0,0.0,0.0,0.26,0.07
CT45A4,0.0,0.05,0.05,0.0,0.0,0.04,0.03,0.01,0.0,0.0,0.04,0.0
CT45A5,0.0,0.0,0.1,0.09,0.0,0.04,0.09,0.22,0.0,0.0,0.0,0.0
CT45A6,0.0,0.05,0.05,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.04,0.0
CT47A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47B1,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
CT62,0.03,0.0,0.0,0.0,0.0,0.16,0.04,0.12,0.92,0.0,0.05,0.0
CTA-299D3.8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
CTAG1A,0.17,0.01,0.0,0.14,0.0,0.04,0.05,0.01,0.66,0.1,0.04,0.03
CTAG1B,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.03
CTAG2,0.06,0.0,0.0,0.04,0.05,0.08,0.3,0.0,0.0,0.02,0.0,0.22
CTAGE1,0.2,0.02,0.03,0.01,0.0,0.0,0.04,0.01,0.01,0.03,0.0,0.04
CTAGE15,4.25,0.27,0.9,0.0,0.78,0.02,0.1,2.59,8.16,0.91,0.33,1.59
CTAGE4,9.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0
CTAGE5,104.4,14.47,20.29,20.62,5.96,3.13,16.34,20.47,34.13,17.55,9.67,66.65
CTAGE6,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
CTAGE8,0.37,5.38,3.09,2.52,1.51,0.02,5.33,7.49,6.06,1.97,9.3,3.46
CTAGE9,0.68,0.09,0.0,0.02,0.15,0.0,0.14,0.08,0.06,0.02,0.37,0.06
CTB-102L5.4,0.0,0.69,0.0,0.93,0.0,0.15,0.96,2.75,0.22,0.18,0.11,0.43
CTB-129P6.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
CTB-133G6.1,0.07,0.0,0.06,0.12,0.02,0.0,0.04,0.0,0.0,0.01,0.02,0.0
CTB-134H23.2,1.14,0.08,0.0,0.15,0.05,0.03,0.04,0.02,0.11,0.0,0.03,0.26
CTB-167G5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
CTB-186H2.3,0.0,0.02,0.14,0.17,0.01,0.0,0.01,0.04,0.0,0.04,0.04,0.0
CTB-50L17.14,0.0,0.01,0.21,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.07,0.07
CTB-54O9.9,1.97,0.76,0.14,0.0,0.28,0.19,0.24,0.52,0.12,0.0,0.0,0.35
CTB-58E17.5,1.04,0.61,0.42,1.06,0.68,0.87,1.23,0.19,0.67,0.6,0.74,1.16
CTB-60B18.6,0.0,0.0,0.21,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0
CTB-78H18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTB-96E2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTBP1,110.75,144.98,84.94,91.06,66.12,187.34,90.83,89.8,139.43,72.26,82.35,92.93
CTBP2,53.13,77.32,47.06,33.21,18.49,34.79,75.33,64.23,72.13,37.93,30.25,81.62
CTBS,6.31,2.81,3.56,3.38,3.31,5.41,4.14,6.68,9.64,3.14,5.4,6.06
CTC-236F12.4,0.0,0.95,0.0,1.06,0.0,0.0,0.0,0.02,0.78,0.22,0.0,0.0
CTC-241N9.1,0.33,0.39,0.03,0.65,0.37,0.59,1.13,0.26,2.47,0.94,0.98,1.06
CTC-260F20.3,4.6,3.1,0.16,0.91,6.56,1.13,1.48,1.6,0.96,2.18,1.62,3.44
CTC-273B12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.12
CTC-326K19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTC-349C3.1,13.81,8.02,14.46,13.68,4.03,1.68,5.41,6.96,13.9,3.71,4.27,5.95
CTC-360G5.1,0.76,1.43,0.0,3.23,0.12,0.0,0.34,0.16,0.7,0.8,0.51,1.11
CTC-360G5.8,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTC-398G3.6,0.0,0.0,0.0,0.0,0.1,0.0,0.23,0.0,0.0,0.0,0.0,0.0
CTC-429P9.4,4.61,45.73,0.0,15.67,30.0,50.36,33.46,32.41,16.26,64.37,53.77,18.17
CTC-432M15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTC-435M10.3,0.0,0.15,0.0,0.0,0.37,0.0,0.0,0.0,0.49,0.0,0.0,0.0
CTC-454I21.3,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.09,0.42,0.0,0.09,0.58
CTC-479C5.12,3.29,8.98,4.26,0.64,6.25,2.92,1.94,2.79,3.88,1.63,0.96,4.19
CTC-487M23.8,5.47,0.52,3.26,0.8,0.59,0.5,0.83,2.5,7.59,0.38,0.55,0.76
CTC-490E21.12,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.21,0.0,0.0,0.0
CTC-512J12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTC-534A2.2,4.52,5.06,7.39,3.18,7.81,0.93,1.95,2.09,3.21,3.98,2.98,5.27
CTC-554D6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
CTC-786C10.1,1.72,0.1,0.29,0.73,1.03,0.83,0.09,0.82,2.49,0.03,0.16,0.0
CTC1,14.61,14.68,6.8,4.1,10.87,3.82,7.55,13.97,21.9,4.81,10.11,36.05
CTCF,23.19,46.81,22.5,11.7,12.55,18.63,31.71,25.93,32.27,21.86,19.9,14.79
CTCFL,0.03,0.01,0.0,0.0,0.0,0.02,0.02,0.0,0.09,0.0,0.02,0.01
CTD-2006C1.10,0.0,0.08,0.0,0.0,1.1,0.57,0.5,0.0,0.0,0.35,0.12,0.35
CTD-2014B16.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2021H9.3,0.13,1.01,0.12,0.0,0.0,0.0,0.0,0.22,0.12,1.32,0.36,2.59
CTD-2049J23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2054N24.2,0.0,0.0,0.12,0.06,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2105E13.6,0.0,0.01,0.18,0.02,0.0,0.0,0.07,0.03,0.02,0.0,0.0,0.01
CTD-2116N17.1,2.75,1.33,2.72,0.16,3.19,0.89,1.72,1.63,2.26,0.22,0.85,0.96
CTD-2117L12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0
CTD-2132N18.3,0.0,0.35,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.07,0.0,0.16
CTD-2140B24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
CTD-2144E22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2162K18.4,0.0,0.17,0.03,0.95,8.08,0.31,0.02,0.01,0.23,0.0,0.01,2.24
CTD-2192J16.20,0.88,0.49,1.09,0.25,0.62,0.45,0.62,0.58,0.67,0.55,0.7,1.28
CTD-2192J16.22,8.15,4.92,1.42,1.24,3.81,12.39,10.6,9.34,6.08,2.51,2.74,11.52
CTD-2192J16.24,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2203A3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2207O23.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.05
CTD-2207O23.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
CTD-2207O23.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0
CTD-2210P24.4,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.03,0.0,0.0,0.0,0.0
CTD-2215E18.1,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2228K2.5,33.53,38.44,29.81,35.27,17.82,18.44,90.02,12.99,27.44,47.26,27.15,2.13
CTD-2260A17.2,0.02,0.92,0.25,1.17,0.46,0.36,0.23,0.13,1.18,0.46,0.43,0.28
CTD-2267D19.3,5.84,3.13,0.68,1.33,2.46,0.51,2.86,1.35,7.49,1.44,1.72,0.7
CTD-2278I10.6,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2287O16.3,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
CTD-2330K9.3,0.0,0.66,0.0,0.4,0.23,0.0,0.53,0.45,0.83,0.38,0.64,0.78
CTD-2349B8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2368P22.1,0.04,0.57,0.09,0.04,0.04,0.04,0.11,0.05,7.47,0.18,0.06,0.01
CTD-2369P2.10,0.36,0.9,0.86,0.08,0.97,0.58,0.89,0.35,0.1,0.38,0.52,0.43
CTD-2369P2.12,7.43,8.16,7.1,6.35,5.63,11.83,8.97,8.74,5.19,12.02,8.27,3.46
CTD-2370N5.3,0.21,0.0,0.3,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2410N18.5,1.46,0.83,0.0,0.0,1.59,0.73,1.32,0.91,1.7,0.32,0.37,0.31
CTD-2510F5.6,0.0,0.81,0.0,0.91,0.77,1.79,1.07,3.26,0.0,0.49,0.0,1.03
CTD-2521M24.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2528L19.4,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
CTD-2535L24.2,0.84,0.29,0.0,0.03,0.0,0.0,0.74,0.17,0.21,0.19,0.11,0.0
CTD-2545G14.7,0.0,0.69,0.0,0.0,0.2,1.17,0.0,0.0,0.0,0.0,0.4,0.0
CTD-2545M3.6,0.15,0.07,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
CTD-2547L24.3,0.35,0.0,0.26,0.0,0.0,0.23,0.0,0.0,0.32,0.0,0.0,0.61
CTD-2561J22.3,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-2583A14.10,1.59,3.57,0.68,7.28,13.08,1.67,6.68,7.56,11.87,1.55,2.75,5.74
CTD-2583A14.9,0.0,0.04,0.0,0.0,0.05,0.15,0.16,0.09,0.0,0.12,0.16,0.07
CTD-2587H24.4,2.41,0.0,0.0,0.0,1.1,0.06,0.08,0.0,0.0,0.02,0.0,0.0
CTD-2600O9.1,0.0,0.46,0.0,0.0,0.06,0.0,0.19,0.07,1.33,0.35,0.03,0.06
CTD-2616J11.11,0.0,9.14,0.85,0.0,0.31,1.55,2.3,0.22,0.34,0.79,0.17,0.34
CTD-2616J11.4,0.0,0.02,0.0,0.0,0.0,0.2,0.02,0.0,0.04,0.0,0.0,0.0
CTD-3074O7.11,0.0,0.06,0.0,0.0,0.13,0.0,0.0,0.05,0.0,0.0,0.0,0.0
CTD-3088G3.8,1.24,0.09,0.0,0.32,0.02,0.18,0.12,0.03,1.26,0.41,0.08,0.21
CTD-3105H18.14,0.0,0.05,0.81,0.04,0.17,0.03,0.2,0.18,0.25,0.24,0.24,0.46
CTD-3105H18.16,0.0,0.0,7.24,0.0,0.0,1.24,0.0,1.34,2.07,0.0,0.0,0.67
CTD-3105H18.18,0.0,0.06,1.11,0.0,0.11,0.18,0.0,0.0,0.0,0.06,0.0,0.0
CTD-3138B18.4,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.05,0.0,0.0,0.03,0.04
CTD-3148I10.1,0.0,0.01,0.0,0.0,0.0,0.01,0.17,0.01,0.0,0.06,0.0,0.02
CTD-3148I10.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
CTD-3193O13.9,1.04,1.37,2.22,1.19,1.31,0.19,1.39,0.07,1.15,0.11,1.01,0.07
CTD-3203P2.2,1.41,0.48,0.0,1.75,0.34,0.06,0.18,0.23,1.01,0.22,0.62,2.31
CTD-3214H19.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTD-3214H19.4,0.0,0.27,0.0,0.0,0.2,0.0,0.0,0.17,0.0,0.17,0.1,0.18
CTD-3222D19.2,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTDNEP1,87.03,103.39,56.95,47.7,40.6,132.37,61.36,54.03,64.52,44.48,78.18,45.01
CTDP1,14.0,6.93,9.64,4.23,4.94,12.78,15.21,5.09,8.11,7.62,12.15,3.03
CTDSP1,56.87,51.36,37.96,35.94,21.36,50.92,71.24,49.11,67.92,65.36,83.6,31.5
CTDSP2,44.74,46.17,49.02,50.5,21.41,46.12,34.45,71.03,78.01,42.92,69.08,20.37
CTDSPL,70.84,33.81,13.05,14.73,7.72,13.26,85.65,34.04,25.27,52.65,38.04,11.74
CTDSPL2,46.79,15.25,6.02,7.39,13.6,7.87,12.62,15.05,37.61,10.12,7.55,13.55
CTF1,0.06,0.56,0.09,0.0,0.06,1.9,0.07,0.01,0.0,0.02,0.01,0.0
CTGF,4.65,1.68,4.29,9.05,1.23,77.96,33.69,10.02,22.17,3.02,1.33,3.8
CTH,39.42,2.06,3.26,8.53,1.32,0.63,3.35,5.15,30.58,2.93,2.63,10.52
CTHRC1,0.91,0.44,0.72,0.63,0.16,49.49,0.37,0.74,5.7,0.13,0.3,5.51
CTIF,10.86,1.71,2.36,1.12,6.74,18.76,5.52,1.04,3.83,3.51,5.22,3.67
CTLA4,0.0,0.3,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
CTNNA1,177.54,153.21,164.72,160.08,45.63,146.38,322.27,186.78,287.11,186.0,142.25,99.26
CTNNA2,0.13,0.05,0.02,0.01,0.01,0.24,24.84,0.0,0.02,0.38,0.07,0.0
CTNNA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
CTNNAL1,16.71,40.64,37.98,28.02,68.66,31.08,37.97,32.67,89.83,32.03,53.56,33.83
CTNNB1,70.87,180.05,165.68,60.68,73.39,101.66,691.8,115.63,72.77,205.31,113.79,79.34
CTNNBIP1,17.81,29.59,12.68,6.89,2.18,17.91,17.58,15.23,27.01,28.77,10.7,9.95
CTNNBL1,28.71,88.63,79.16,33.69,37.56,94.23,101.07,57.43,61.99,34.99,64.44,35.2
CTNND1,26.88,87.57,69.32,88.97,30.25,69.01,124.49,95.27,179.81,104.03,120.73,50.62
CTNND2,0.13,0.01,0.22,0.01,0.01,0.05,0.04,0.01,0.01,0.0,0.01,0.0
CTNS,9.74,12.41,6.8,5.25,7.37,20.92,7.41,8.29,4.31,10.14,6.21,4.35
CTPS1,41.7,77.22,49.07,25.02,51.5,56.85,48.93,55.5,82.94,28.27,19.46,26.41
CTPS2,11.52,28.14,8.92,9.63,6.03,8.62,11.66,15.9,13.15,10.0,9.2,0.15
CTR9,29.33,32.77,28.49,12.23,10.68,16.94,26.0,25.91,43.88,20.09,23.4,13.66
CTRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0
CTRB2,0.07,0.06,0.14,0.0,0.0,0.02,0.08,0.01,0.02,0.0,0.0,0.04
CTRC,1.54,0.05,0.0,0.0,0.0,0.01,0.25,0.02,0.0,0.02,0.0,0.0
CTRL,2.95,3.1,0.41,1.34,2.54,0.27,0.78,1.5,0.68,0.37,0.69,1.11
CTSA,41.82,70.85,157.47,152.2,81.8,520.27,342.55,197.48,157.72,174.53,48.36,52.93
CTSB,380.23,55.08,93.29,65.26,37.15,1244.9,127.29,140.82,133.0,198.95,219.45,106.8
CTSC,65.81,189.17,104.51,45.95,94.45,144.29,69.94,147.23,130.7,65.17,43.77,80.63
CTSD,204.55,116.9,125.25,136.38,24.13,292.37,402.87,226.5,176.59,216.97,175.38,83.1
CTSE,0.09,0.0,2.0,0.87,0.04,0.13,2.99,6.13,0.11,0.28,2.05,15.75
CTSF,0.33,0.06,0.66,2.14,0.02,6.94,0.1,0.49,10.05,6.23,0.21,0.1
CTSG,0.0,0.0,0.12,0.16,0.06,0.03,0.9,0.0,0.0,0.0,0.03,0.47
CTSH,63.17,3.25,62.43,130.38,14.53,33.15,153.89,143.68,287.47,121.11,99.09,9.99
CTSK,0.37,1.32,0.31,0.87,1.33,1.8,1.33,1.56,1.76,1.85,1.54,3.91
CTSL,3.26,9.55,4.45,11.16,185.87,177.64,26.42,7.29,58.38,22.02,20.63,0.24
CTSO,5.73,0.01,0.45,1.12,0.11,3.59,0.93,0.97,1.33,1.86,1.26,1.19
CTSS,0.83,0.19,8.79,14.02,0.05,194.19,4.08,68.84,16.41,20.34,6.15,1.45
CTSV,6.45,5.33,6.19,14.23,6.71,24.45,17.18,40.73,42.44,49.05,49.08,18.56
CTSW,1.08,0.08,0.0,0.0,0.33,0.34,0.0,0.07,0.16,0.0,0.0,0.19
CTSZ,56.01,121.52,103.65,101.24,46.72,124.41,253.64,125.15,202.71,1243.0,142.89,28.81
CTTN,115.22,133.59,154.69,126.91,136.47,232.07,182.9,150.47,216.89,122.87,193.89,120.68
CTTNBP2,0.06,0.06,1.02,1.07,2.26,0.12,0.02,0.7,0.21,5.57,4.8,0.01
CTTNBP2NL,3.16,3.31,4.06,4.19,11.0,5.62,7.58,6.66,9.85,11.33,6.52,4.66
CTU1,5.88,2.85,3.56,1.04,3.03,2.43,5.66,4.11,2.44,2.89,1.42,2.78
CTU2,16.08,18.15,15.06,10.09,26.18,17.12,20.57,11.76,21.68,12.31,10.58,13.57
CTXN1,11.04,5.43,2.66,1.59,7.35,16.69,4.47,0.52,7.36,0.05,1.34,1.92
CTXN2,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
CTXN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUBN,0.13,0.04,0.0,0.01,0.21,0.11,0.02,0.0,0.05,0.01,0.09,0.08
CUEDC1,34.89,23.41,3.89,7.75,3.87,26.59,36.96,14.05,45.51,7.83,10.61,13.66
CUEDC2,63.64,41.0,18.26,18.65,34.65,67.09,28.07,10.78,39.05,35.58,29.86,49.13
CUL1,73.87,69.5,35.51,28.11,50.74,37.58,60.21,40.55,52.85,41.86,59.1,20.3
CUL2,22.08,17.03,15.44,5.59,22.45,13.95,17.56,20.54,41.15,12.38,10.76,14.85
