,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
COMMD10,17.35,16.78,40.45,23.0,15.56,17.37,14.71,14.0,49.77,32.97,12.23,15.83
COMMD2,20.01,18.25,18.96,12.11,24.25,15.11,17.16,18.95,38.15,11.93,11.57,21.9
COMMD3,42.13,22.85,31.75,9.22,61.32,39.8,31.29,39.36,43.46,20.84,24.66,78.34
COMMD3-BMI1,32.77,17.75,20.67,7.3,37.95,31.75,18.89,18.16,18.01,12.33,12.84,46.01
COMMD4,55.9,228.23,62.48,50.08,183.22,260.11,160.87,132.02,144.44,113.08,78.33,90.69
COMMD5,21.88,24.0,52.19,13.55,71.6,42.44,31.92,16.67,18.02,22.01,22.42,29.26
COMMD6,144.8,188.89,310.76,75.67,179.59,166.15,66.21,69.59,94.01,190.18,438.21,193.44
COMMD7,19.6,25.58,43.7,12.52,35.75,103.61,61.73,25.51,35.36,62.0,42.24,14.99
COMMD8,16.29,23.74,22.11,8.1,42.4,16.48,6.81,10.28,31.19,15.0,12.45,25.71
COMMD9,6.58,42.24,17.72,13.51,20.06,42.55,22.14,27.46,27.11,14.33,20.06,13.67
COMP,0.37,0.58,0.23,0.36,0.0,0.0,0.11,0.03,0.3,0.51,0.0,0.0
COMT,127.77,38.7,26.64,47.35,36.27,121.47,88.21,89.9,158.19,100.25,102.42,57.18
COMTD1,29.32,53.05,35.06,29.83,13.65,12.06,21.35,47.82,30.96,44.51,17.09,54.43
COPA,90.93,70.64,55.88,35.25,25.59,83.45,75.97,69.32,123.51,67.32,84.68,29.11
COPB1,88.46,61.8,64.86,37.29,39.03,68.81,67.78,75.02,96.34,57.7,67.49,62.3
COPB2,90.98,80.54,91.09,57.87,40.87,83.96,130.26,70.03,148.74,67.0,99.74,51.29
COPE,114.09,141.38,112.54,54.5,88.92,195.03,158.07,111.28,64.72,158.77,141.48,118.23
COPG1,212.23,97.37,137.23,80.34,33.7,139.4,171.47,101.25,162.37,84.8,80.3,74.72
COPG2,10.93,45.1,30.49,33.99,12.05,94.37,69.38,21.77,58.0,25.98,45.81,22.29
COPRS,56.75,48.63,48.7,27.76,71.15,124.25,65.97,28.16,60.18,22.54,25.08,25.36
COPS2,102.03,46.13,34.19,16.92,95.45,20.21,38.74,38.64,79.59,46.99,32.18,91.94
COPS3,109.44,98.11,61.39,35.68,94.88,111.94,57.1,52.95,59.95,64.98,68.11,92.83
COPS4,27.99,43.13,13.57,10.54,79.92,24.72,17.82,19.9,49.72,18.71,22.37,50.03
COPS5,48.86,62.42,108.72,31.34,98.12,45.73,34.31,33.81,69.05,59.9,62.24,98.81
COPS6,97.73,164.03,102.81,70.0,138.85,473.05,197.93,124.54,157.64,123.04,163.15,84.56
COPS7A,67.39,73.82,56.42,24.34,79.72,91.9,57.18,47.86,58.32,34.02,45.85,42.19
COPS7B,50.16,49.89,28.11,21.75,40.98,49.88,43.82,31.95,46.04,25.01,43.31,29.13
COPS8,40.71,80.72,50.12,26.66,71.67,150.42,78.19,36.98,74.39,56.34,50.93,41.92
COPZ1,165.14,246.44,172.47,69.04,172.91,183.45,164.84,124.34,193.93,137.09,202.14,169.8
COPZ2,3.56,5.1,0.45,1.59,6.69,92.37,1.38,0.3,3.55,2.18,6.42,0.24
COQ10A,12.69,25.76,6.14,4.85,21.39,7.78,6.33,5.79,14.54,2.75,3.53,4.5
COQ10B,15.0,11.14,14.05,11.39,21.47,21.75,13.67,13.43,18.06,16.92,13.79,15.89
COQ2,14.76,9.43,11.54,8.99,9.34,16.89,9.57,13.02,23.89,14.57,9.43,28.12
COQ3,17.94,11.38,21.31,6.4,26.53,13.06,9.46,27.3,10.26,18.9,16.27,17.66
COQ4,38.74,43.39,23.08,37.28,55.49,37.01,33.19,34.21,34.47,34.59,48.54,42.03
COQ5,18.62,24.78,27.93,13.46,15.13,31.42,24.94,19.3,38.6,26.64,32.49,70.1
COQ6,26.21,19.45,15.87,15.2,17.13,16.79,16.17,17.68,27.38,18.24,11.06,11.77
