,T24,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
IL2RB,0.02,0.02,0.22,0.2,0.16,136.75,0.12,0.05,2.88,0.4,0.04,1.06,0.03,0.1,0.01,0.08,0.07,0.0,0.09,0.09,0.02,0.28,0.01,0.02,0.0
IL2RG,0.06,1.01,1.01,0.18,2.63,261.7,45.44,181.75,0.33,324.39,6.73,125.69,47.71,0.45,0.35,79.91,14.27,0.02,0.24,20.01,75.43,5.93,41.97,3.39,0.19
IL3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL31,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
IL31RA,0.98,0.0,3.74,1.24,0.54,0.28,0.0,0.0,4.49,0.0,0.0,4.0,0.02,0.0,0.09,0.0,0.1,0.05,2.46,0.14,0.0,0.06,0.03,0.0,0.02
IL32,1.37,1.27,40.67,58.95,48.12,493.73,0.29,4.5,77.65,0.82,0.51,1.34,0.18,188.3,0.82,376.7,174.75,181.55,130.87,128.75,105.96,24.52,16.52,92.1,1.54
IL33,1.02,0.02,0.3,0.03,0.53,0.02,0.0,0.0,0.06,0.0,0.01,0.02,0.0,0.07,0.0,78.12,0.4,0.02,0.07,0.31,1.37,0.09,10.28,2.53,0.07
IL34,0.0,0.12,0.63,4.92,0.15,0.0,0.07,0.0,0.46,0.0,0.0,0.06,0.08,0.0,0.16,0.0,0.45,0.08,0.0,0.06,0.1,0.27,0.11,0.01,0.01
IL36A,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
IL36B,0.0,0.0,0.31,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.03,0.0,0.0,0.0,0.03,0.0
IL36G,0.55,0.2,20.35,0.02,0.25,0.07,0.0,0.0,0.09,0.02,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.05,0.11,0.05,0.47,0.5,0.7,0.25
IL36RN,0.01,0.01,2.38,2.54,0.01,0.01,0.01,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.27,0.0,0.0,2.06,0.15,0.09,2.0,0.0,0.0,0.04
IL37,0.28,0.07,0.82,0.09,0.42,0.04,0.0,0.0,0.25,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.06,0.38,0.24,0.13,0.2,0.26,1.09,0.19
IL3RA,0.005,0.115,0.025,0.04,0.02,9.025,0.05,0.015,0.065,1.305,0.03,2.185,2.335,0.0,0.12,0.03,0.295,0.0,0.0,0.015,0.04,0.455,1.075,0.065,0.255
IL4,0.0,0.0,0.0,0.18,0.0,0.71,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
IL4I1,0.6,0.36,0.78,5.99,2.2,152.36,0.85,9.49,0.79,1.4,1.28,0.89,0.42,0.77,0.24,0.35,0.25,0.41,3.39,1.89,0.9,1.97,0.07,0.05,0.43
IL4R,21.27,0.4,131.29,6.96,15.1,20.92,15.02,90.08,29.54,18.88,36.33,11.42,8.99,10.15,10.06,28.69,38.69,9.33,22.65,29.26,45.07,31.23,23.79,12.23,7.28
IL5,0.0,0.0,0.07,0.0,0.03,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
IL5RA,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.37,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6,3.5,0.11,3.77,15.79,16.93,0.68,0.17,0.06,30.8,0.26,0.04,0.09,0.13,1.4,0.0,0.46,0.58,0.08,1.57,0.19,0.33,1.2,0.11,0.02,0.06
IL6R,0.26,4.72,4.11,3.8,2.36,1.12,0.08,0.02,0.43,5.14,0.86,29.65,0.04,1.19,0.55,2.34,1.28,2.2,0.54,0.63,3.49,2.4,4.01,0.66,0.59
IL6ST,32.63,8.99,14.63,53.06,79.91,10.98,1.26,1.82,76.92,6.81,0.63,1.79,7.97,15.26,3.44,7.9,11.14,10.74,12.11,7.32,5.33,14.12,5.08,4.79,6.67
IL7,1.65,0.52,9.98,6.63,11.22,18.79,0.0,0.0,5.35,10.63,0.07,0.0,0.12,0.39,0.08,0.14,1.4,7.77,1.39,0.06,0.04,0.43,0.09,0.0,0.69
IL7R,41.16,0.07,23.44,51.89,28.33,0.85,0.1,1.33,69.0,0.14,0.03,0.04,0.38,0.52,0.67,0.09,0.12,0.03,1.43,0.37,0.22,2.17,0.06,0.0,0.07
IL8,49.46,4.81,33.26,3.98,58.22,1.36,0.1,0.21,1.93,7.44,0.24,27.27,0.61,2.12,3.68,10.74,12.66,1.61,329.87,4.75,10.34,3.84,0.42,0.64,5.65
IL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL9R,0.1,0.325,0.42,0.05,0.225,1.285,0.49,0.9,0.0,5.74,1.585,0.505,0.685,0.925,0.395,0.365,0.135,0.19,0.0,0.17,0.47,0.965,0.0,0.12,0.5
ILDR1,0.0,5.32,1.44,0.05,0.02,12.15,6.06,3.03,0.02,0.03,6.4,0.04,0.04,0.36,0.13,5.67,2.23,0.01,0.02,1.77,3.34,5.02,5.05,4.55,0.23
ILDR2,0.07,0.65,0.01,6.7,1.65,3.47,0.54,0.3,5.96,0.03,1.21,0.04,0.78,1.47,2.24,0.03,0.11,2.41,0.46,0.14,0.07,0.35,0.35,0.28,0.12
ILF2,210.25,175.48,82.26,218.98,228.22,127.95,260.09,377.37,148.9,220.56,247.15,249.79,743.94,215.06,274.55,165.03,68.37,140.84,284.43,237.48,227.15,252.26,141.37,123.66,163.23
ILF3,260.32,132.12,141.36,153.41,165.89,124.12,308.55,207.14,190.37,228.46,215.99,592.91,295.2,218.68,219.68,111.06,72.3,174.8,159.28,172.67,179.46,126.55,119.77,131.8,108.12
ILK,285.37,66.11,118.31,185.35,92.67,85.59,67.92,44.69,150.92,110.44,70.16,98.82,37.31,53.83,96.37,66.11,39.57,75.34,290.52,87.07,70.52,63.83,78.29,84.85,47.96
ILKAP,38.41,23.4,24.34,39.37,45.58,28.24,58.66,23.18,31.43,42.0,35.84,57.74,59.32,46.7,29.79,30.22,22.18,33.77,41.38,39.68,36.03,40.1,32.18,47.58,33.94
ILVBL,38.54,25.79,55.22,40.11,46.86,18.04,24.79,21.01,34.93,24.88,19.8,25.41,19.34,41.54,34.25,37.34,17.94,23.55,47.61,35.88,54.89,31.25,65.75,51.36,35.93
IMMP1L,38.45,54.25,20.9,23.05,17.14,13.49,55.1,22.03,23.6,29.34,45.58,38.39,31.87,28.97,40.14,40.28,7.43,23.31,29.98,25.52,41.11,39.06,24.89,23.01,47.3
IMMP2L,3.86,8.61,3.6,19.16,4.57,4.36,2.24,17.03,3.23,12.3,17.05,12.24,9.55,26.68,7.05,7.43,8.18,5.22,9.67,9.83,5.37,8.84,14.51,10.33,4.46
IMMT,60.96,60.61,54.88,53.74,60.14,66.15,86.68,80.36,67.95,92.41,75.52,110.65,63.01,92.67,83.07,86.49,42.58,30.33,55.27,79.43,64.32,93.14,71.87,104.12,42.77
IMP3,85.37,50.15,26.24,34.84,43.57,48.16,65.59,125.19,44.57,94.28,61.39,118.89,56.47,50.28,75.57,29.82,32.58,70.98,62.77,54.07,69.41,52.43,64.71,42.44,49.49
IMP4,108.4,91.37,63.09,69.87,140.24,108.01,250.61,406.76,98.31,80.36,481.59,147.93,88.92,135.38,117.93,145.02,70.94,139.13,191.94,146.16,95.72,94.61,96.85,133.66,93.11
IMPA1,27.46,25.71,15.35,28.43,33.83,37.09,46.71,25.04,23.25,21.39,44.1,17.17,26.99,14.52,33.35,31.8,14.94,71.55,13.32,15.26,17.64,16.71,17.82,11.39,22.73
IMPA2,2.88,25.89,5.22,13.33,4.7,0.6,4.37,10.91,11.96,0.23,1.48,39.84,23.84,20.58,32.74,31.64,19.55,12.17,5.46,25.72,46.21,22.38,21.18,35.16,17.63
IMPACT,19.29,16.24,7.11,18.1,19.49,2.41,6.54,1.44,19.2,22.22,2.17,16.16,0.03,39.87,17.58,0.22,6.52,6.89,16.25,10.03,9.36,14.54,12.88,11.73,11.23
IMPAD1,34.84,23.05,28.5,58.0,37.26,7.99,15.19,9.83,43.94,18.01,11.62,13.36,20.08,39.36,12.61,34.62,10.64,21.47,23.26,16.06,15.35,51.19,9.68,16.06,15.73
IMPDH1,52.5,30.09,68.16,54.12,59.37,18.5,32.32,41.13,49.94,30.47,69.4,139.22,44.56,116.58,38.86,73.04,41.01,84.29,97.05,89.77,84.58,52.3,71.8,142.97,19.46
IMPDH2,183.29,43.96,145.27,112.55,201.8,169.8,297.35,284.43,294.07,261.8,323.26,257.02,274.46,370.83,214.2,192.2,180.94,112.62,269.37,248.61,161.06,177.49,194.64,173.61,334.99
IMPG1,0.21,0.2,0.55,0.03,0.02,0.15,0.09,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.01,0.46,0.63,0.1,0.04,0.06,0.31,0.02,0.1,0.38,0.5
IMPG2,0.06,0.03,0.09,0.12,0.16,0.09,0.01,0.0,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.01,0.0,0.0,0.02,0.0,0.01,0.02
INA,0.03,21.45,0.06,0.02,4.73,0.1,0.19,0.01,0.02,0.02,0.0,0.02,3.9,0.06,0.01,0.03,0.1,0.02,0.01,0.03,0.01,0.06,0.02,0.01,0.0
INADL,4.12,15.98,21.49,4.73,2.75,6.37,2.36,0.04,1.55,0.13,0.03,0.07,0.26,15.97,8.13,17.64,13.14,1.86,1.58,12.65,15.47,14.61,10.28,15.87,12.67
INCA1,1.07,0.66,2.29,1.19,0.76,1.68,0.81,0.8,1.28,0.48,0.48,0.2,0.35,1.45,1.18,0.49,0.36,0.41,0.65,1.55,0.27,0.25,0.73,1.04,0.38
INCENP,96.9,23.95,52.07,44.72,27.22,20.75,58.9,37.18,36.12,37.23,44.9,53.63,69.91,25.88,49.25,31.07,19.75,21.11,81.12,48.3,37.26,48.72,23.43,35.47,23.02
INF2,81.71,42.08,70.03,79.15,75.26,11.92,3.2,2.73,40.81,37.49,17.84,20.67,7.19,62.65,101.76,61.07,88.27,22.4,57.24,69.97,68.7,128.57,29.23,47.08,44.82
ING1,17.17,10.45,14.92,16.75,11.17,10.13,23.57,18.83,7.23,15.32,8.96,16.97,29.33,12.79,19.88,28.59,9.77,7.64,16.41,17.26,10.39,6.6,9.66,30.75,13.8
ING2,18.07,5.37,8.84,13.3,15.17,3.95,20.7,26.33,20.5,20.23,12.32,17.53,19.06,27.56,15.47,10.39,7.14,11.46,9.61,8.09,15.14,17.16,8.32,7.94,15.51
ING3,15.24,7.56,11.51,18.54,18.53,15.38,27.96,21.57,12.23,16.59,22.24,23.21,31.1,16.94,23.23,17.12,10.25,15.97,9.41,24.55,7.59,12.52,12.62,12.8,19.48
ING4,27.02,20.11,48.36,31.25,25.04,23.3,31.81,28.28,29.37,53.09,43.39,13.84,27.86,17.99,44.58,21.63,18.89,10.57,12.78,22.36,17.28,29.76,27.53,50.47,28.04
ING5,19.68,18.16,15.39,11.4,12.32,10.62,29.12,15.33,12.31,28.63,16.73,31.23,28.52,19.67,37.95,20.29,10.13,17.51,18.16,24.17,5.66,20.16,11.97,24.9,22.27
INHA,0.54,0.67,0.88,0.61,0.37,0.0,0.0,0.02,0.55,0.45,0.0,0.01,0.02,6.39,0.94,0.0,0.09,0.15,0.05,0.54,0.02,0.07,0.0,0.04,0.01
INHBA,5.03,0.13,81.93,25.16,0.24,0.08,0.16,0.04,1.4,0.07,0.01,0.17,0.04,6.52,0.0,0.25,0.21,0.01,111.96,3.91,0.14,1.21,0.05,0.01,0.09
INHBB,2.58,0.13,1.0,1.23,0.16,0.04,0.03,0.01,23.03,0.04,0.01,0.15,0.02,0.12,78.81,0.14,2.38,0.03,0.05,24.07,0.46,2.42,2.99,0.11,0.01
INHBC,0.01,0.05,0.07,0.07,0.03,0.46,0.1,0.42,0.1,0.03,0.59,0.06,0.04,0.0,0.05,0.0,0.03,0.01,0.0,0.03,0.01,0.0,0.03,0.05,0.07
INHBE,0.1,0.28,1.46,7.91,1.18,2.55,0.19,0.43,42.82,0.2,3.57,0.24,0.16,3.68,0.85,0.09,0.24,0.1,0.11,0.19,0.09,0.02,1.01,0.22,2.07
INIP,23.69,17.41,15.34,32.15,18.86,14.45,31.34,21.82,26.45,24.06,37.16,19.47,22.78,12.63,23.34,30.87,5.7,26.31,15.82,20.86,14.99,19.83,22.69,24.68,21.92
INMT,0.0,0.02,0.25,0.16,0.07,0.0,0.01,0.02,0.31,0.0,0.0,0.03,0.0,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.54,0.38,0.12,0.05
INMT-FAM188B,0.0,0.0,0.24,0.0,0.0,0.0,0.06,0.0,0.28,0.05,0.0,0.0,0.03,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INO80,17.73,9.39,9.57,12.81,10.13,11.81,17.74,10.43,13.44,12.7,11.39,13.35,14.66,25.38,16.19,8.43,10.99,7.51,8.32,11.78,16.85,28.45,16.4,11.46,10.41
INO80B,32.02,40.78,40.61,20.58,30.01,52.65,25.15,38.94,30.82,31.91,54.94,44.12,22.92,72.37,38.56,18.03,22.02,16.02,26.59,59.53,33.17,44.77,33.59,58.22,34.73
INO80C,28.07,20.56,13.18,24.03,25.67,28.21,33.5,38.48,31.36,81.93,94.03,23.64,37.18,18.24,20.69,26.36,5.5,13.49,21.16,25.08,31.62,17.41,21.1,24.55,46.17
INO80D,2.86,2.45,2.87,2.27,1.36,3.01,5.89,1.95,1.96,4.81,2.11,3.92,3.65,2.95,2.66,2.64,2.25,3.03,1.23,3.42,4.3,4.65,2.65,4.63,4.97
INO80E,97.0,71.55,29.25,51.95,81.15,41.77,101.84,64.51,77.48,46.37,77.22,59.38,47.59,81.56,67.38,57.18,26.86,43.24,79.99,71.65,44.5,51.5,47.17,30.82,72.36
INPP1,17.79,21.2,23.09,13.4,19.33,23.32,0.06,0.1,11.33,19.45,0.44,11.13,0.27,27.09,12.05,27.95,24.68,9.38,6.81,21.37,24.25,13.6,17.84,26.2,56.29
INPP4A,8.72,9.38,11.52,12.41,9.59,13.5,6.98,11.49,10.38,8.47,2.36,16.43,8.9,18.94,4.99,8.78,5.84,5.07,8.13,16.32,4.98,18.48,6.45,9.02,4.02
INPP4B,3.54,7.78,11.59,5.55,0.84,23.09,0.03,0.36,9.86,2.61,0.02,0.05,0.03,0.63,0.07,3.55,10.03,0.02,3.83,1.5,6.41,2.24,6.01,2.76,2.93
INPP5A,11.33,4.54,5.92,8.58,10.44,8.4,13.94,9.6,21.03,5.82,2.19,22.31,5.56,8.91,7.6,6.09,5.03,5.8,16.78,7.51,6.76,14.11,7.08,7.92,5.15
INPP5B,4.8,8.15,5.29,11.05,3.69,21.54,28.58,21.8,6.56,27.9,23.22,12.26,11.45,12.86,7.17,9.04,3.73,4.57,4.26,3.6,6.22,9.52,3.77,3.63,15.08
INPP5D,0.08,0.32,2.02,0.11,0.04,205.0,183.91,52.13,0.11,231.64,159.18,240.72,110.11,1.64,28.93,1.95,18.89,0.13,0.91,2.99,0.93,0.48,24.74,25.75,0.12
INPP5E,11.41,5.1,18.81,13.16,6.58,10.97,9.86,8.03,7.54,8.33,3.62,6.55,7.17,10.89,4.97,1.12,6.28,18.64,12.06,8.72,12.85,11.76,6.81,6.16,4.45
INPP5F,10.55,3.23,9.21,10.22,6.27,0.63,3.92,5.51,9.46,4.47,2.17,5.43,9.19,6.59,3.95,2.34,5.95,4.25,8.76,8.4,3.73,9.33,4.34,5.14,2.83
INPP5J,1.71,3.1,2.87,1.14,0.89,0.14,3.69,0.0,3.79,0.15,1.51,0.06,7.36,15.21,1.82,1.12,1.23,1.45,0.5,3.28,0.93,3.8,3.09,2.82,10.29
INPP5K,18.26,12.07,13.18,18.81,20.5,15.03,23.74,16.46,14.53,7.52,7.17,6.09,17.71,11.56,20.84,10.42,11.48,11.73,15.53,17.45,10.96,14.37,28.77,21.9,11.95
INPPL1,133.53,151.0,157.35,60.03,44.25,91.94,68.76,50.29,89.76,110.92,94.37,106.55,102.26,57.29,46.65,44.52,53.95,86.78,80.47,50.1,60.92,81.59,40.19,60.22,32.0
INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INS-IGF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
INSC,0.28,0.7,0.11,0.03,0.15,0.02,0.0,0.0,0.02,0.01,2.61,0.18,0.03,4.53,0.0,0.0,0.13,0.02,0.04,0.12,0.04,0.0,0.14,0.01,0.04
INSIG1,36.71,109.81,116.8,214.73,102.82,92.77,89.66,119.34,70.35,109.11,94.85,138.98,44.31,12.34,14.24,51.19,30.38,8.84,181.8,27.44,59.59,62.42,58.25,108.45,11.39
INSIG2,23.63,17.95,22.52,30.74,12.84,11.2,3.81,11.15,26.31,8.33,8.95,12.89,10.15,8.8,6.05,17.19,11.45,5.81,9.02,39.06,17.85,28.63,8.98,34.64,15.06
INSL3,0.0,0.02,1.05,0.06,0.07,0.62,0.12,0.04,0.08,0.03,0.11,0.0,0.02,0.0,0.4,0.0,0.3,0.0,0.0,0.05,0.43,0.31,0.39,0.43,0.37
INSL4,0.01,0.18,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
INSL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
INSL6,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSM1,0.02,224.18,0.09,0.28,0.01,0.03,0.01,0.0,0.03,0.02,0.01,0.0,25.41,0.03,0.0,14.82,0.02,0.01,0.01,0.08,0.22,0.14,0.02,0.17,0.03
INSM2,0.18,0.48,0.02,0.02,0.0,0.0,0.06,0.01,0.01,0.01,0.03,0.0,0.22,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
INSR,1.35,7.2,0.3,5.87,0.25,1.39,0.04,17.06,0.94,0.4,0.01,6.63,14.17,7.11,2.02,8.2,3.47,2.9,1.69,6.21,7.82,5.09,5.14,8.15,3.17
INSRR,0.01,0.1,0.02,0.39,0.0,0.01,0.01,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
INTS1,52.05,50.61,82.68,53.4,64.67,52.87,79.85,78.74,77.66,49.73,79.92,121.82,57.9,51.51,54.79,30.25,56.84,41.56,78.84,71.97,100.34,62.14,45.8,49.74,30.96
INTS10,23.88,19.55,32.86,42.65,44.7,27.2,65.77,41.15,36.48,44.99,59.93,56.78,58.25,96.2,62.61,32.57,17.4,55.59,25.31,19.72,37.01,27.37,39.0,38.57,63.3
INTS12,16.25,12.36,11.38,18.59,22.72,23.77,17.67,21.12,24.36,18.06,24.15,19.79,18.92,26.31,10.6,16.68,12.05,16.05,13.97,12.58,14.2,22.72,13.46,14.71,26.99
INTS2,9.06,12.15,8.05,5.25,11.06,6.93,11.53,6.68,10.44,13.33,9.13,8.64,20.21,9.14,9.83,4.71,4.46,5.16,4.2,8.04,6.05,13.02,5.91,8.56,5.47
INTS3,24.81,28.04,42.68,26.71,16.35,58.01,31.2,34.78,12.41,20.18,24.28,14.52,49.32,28.4,14.8,9.71,10.66,16.14,17.84,16.11,21.55,36.46,15.99,30.42,24.8
INTS4,29.94,27.67,101.83,16.27,12.85,27.16,31.75,26.19,22.59,35.99,42.23,30.25,27.73,31.01,29.27,28.29,15.01,15.34,22.71,18.59,17.72,28.97,13.25,16.26,12.29
INTS5,18.44,14.76,13.51,11.08,9.03,15.74,21.71,13.51,9.58,14.42,16.58,17.37,15.8,11.56,15.39,10.22,8.87,5.86,22.62,20.84,10.61,15.04,14.02,11.7,6.22
INTS6,25.05,9.55,20.49,24.6,20.02,25.69,52.44,13.33,10.11,27.33,16.83,26.07,20.4,20.18,24.26,29.66,9.97,12.87,10.55,13.49,10.74,12.79,14.68,36.76,17.66
INTS7,10.72,6.41,6.7,20.84,16.71,11.82,15.96,14.23,16.76,19.87,17.73,15.66,51.43,12.98,16.9,10.3,5.43,7.53,7.25,14.32,11.3,17.18,14.92,10.97,9.84
INTS8,21.85,17.6,20.45,20.7,31.19,18.11,31.65,28.57,23.4,17.84,28.35,15.68,31.43,45.84,15.07,35.28,16.74,50.91,13.61,12.22,24.05,55.39,24.77,33.54,35.97
INTS9,14.19,18.07,6.25,11.46,12.48,22.45,26.35,18.42,11.94,25.51,24.64,15.78,16.79,10.82,14.8,3.72,5.37,6.86,12.53,4.02,8.35,7.0,6.33,10.4,9.08
INTU,1.15,0.62,7.12,1.01,1.56,0.14,0.01,0.01,2.65,0.89,0.0,0.42,0.04,3.29,0.56,0.8,0.59,2.61,0.91,0.55,0.78,3.27,0.27,1.98,0.76
INVS,10.23,5.74,11.77,13.92,6.85,7.77,4.94,6.9,12.62,9.8,7.07,6.13,8.63,11.68,7.09,4.28,2.73,13.38,7.03,8.1,4.5,7.76,7.46,11.91,9.66
IP6K1,22.47,12.27,8.73,31.4,19.26,12.27,19.45,13.94,20.58,29.43,10.21,21.7,16.86,18.28,16.33,15.24,7.77,11.8,20.46,23.39,17.16,10.67,12.61,12.82,9.06
IP6K2,70.03,54.27,73.65,66.64,53.05,55.1,80.38,60.71,63.74,72.72,63.82,35.44,75.91,103.91,96.59,76.32,42.5,63.59,58.76,109.13,75.9,42.08,83.39,116.34,132.35
IP6K3,0.0,0.07,0.15,0.12,0.02,0.02,0.01,0.01,0.86,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0
IPCEF1,0.01,1.66,0.32,0.05,0.08,54.35,0.0,0.07,0.04,0.38,0.58,0.12,0.0,4.29,0.0,0.01,0.01,0.0,0.11,0.0,0.11,1.34,0.13,0.03,0.06
IPMK,2.07,2.91,3.46,2.75,2.24,1.67,11.42,4.84,5.49,3.19,3.9,3.96,5.05,3.09,6.29,3.87,2.11,3.43,1.22,3.44,3.67,5.12,6.67,3.0,3.57
IPO11,16.83,4.54,6.29,13.11,16.63,6.33,16.65,17.19,11.24,11.62,18.77,19.8,15.25,18.75,20.61,19.98,13.45,17.53,8.96,10.7,9.72,18.19,10.93,9.23,15.36
IPO13,21.15,12.57,21.53,30.66,23.71,14.46,18.69,12.08,17.17,18.4,14.86,18.11,16.39,6.62,14.1,11.66,4.92,9.63,19.92,12.58,12.67,8.39,9.76,6.8,9.68
IPO4,44.31,17.02,22.76,21.66,30.69,29.06,71.19,38.16,29.77,28.68,44.41,55.46,35.39,38.9,50.38,40.84,31.11,62.92,61.33,53.71,37.26,65.45,14.72,20.4,22.48
IPO5,159.51,22.01,73.67,97.17,105.28,57.93,129.0,106.18,56.63,169.48,80.35,110.29,197.21,144.95,165.78,170.05,51.87,59.61,99.1,58.36,47.35,56.18,63.88,172.88,78.44
IPO7,96.19,32.47,71.65,51.91,50.89,22.5,79.63,54.69,66.28,70.26,75.24,60.8,66.89,105.5,92.39,70.56,60.8,76.11,55.09,80.17,79.84,77.67,70.72,69.15,47.05
IPO8,26.15,19.49,21.62,27.72,19.59,20.95,29.65,14.18,17.55,24.22,29.93,22.35,40.9,18.08,27.27,19.5,9.12,26.19,11.27,17.0,22.81,27.19,12.08,21.64,11.93
IPO9,36.81,18.18,23.54,45.89,27.76,19.09,21.64,23.15,36.55,34.59,20.24,17.22,63.77,31.04,24.83,11.94,8.61,13.81,43.17,22.64,19.21,36.12,13.26,21.72,14.79
IPP,7.67,6.69,4.17,10.77,7.88,5.3,7.37,3.9,9.94,1.83,4.05,0.6,5.22,5.09,5.91,2.37,2.79,6.52,7.05,5.1,4.93,8.39,6.37,5.48,4.72
IPPK,7.74,10.87,8.97,12.81,9.7,6.54,8.8,5.49,7.18,3.72,7.51,6.23,5.81,5.44,7.64,7.66,7.22,11.02,6.79,8.58,8.15,11.08,6.63,7.77,7.45
IQCA1,0.01,0.04,3.59,0.01,0.04,0.07,2.32,0.0,1.14,0.01,0.0,0.0,0.02,0.1,0.32,0.01,0.0,0.0,0.02,0.13,0.04,0.0,0.02,0.02,0.03
IQCB1,19.69,13.38,22.95,23.49,13.09,32.86,60.16,43.3,12.2,34.32,53.27,30.28,44.47,63.99,21.18,33.48,26.89,33.34,8.11,25.29,22.32,21.96,16.06,26.15,26.57
IQCC,6.24,3.01,5.03,5.2,4.75,2.66,9.06,4.84,4.54,7.63,6.79,4.32,5.35,6.45,4.76,4.12,2.12,4.91,4.51,4.22,3.49,8.94,1.3,2.66,5.73
IQCD,0.65,3.37,1.76,1.38,0.85,0.89,32.16,17.78,1.19,0.59,23.92,1.54,3.02,0.29,0.58,1.15,0.7,0.35,0.6,1.83,0.82,6.9,0.32,1.08,0.71
IQCE,7.29,15.58,12.23,8.38,17.82,2.51,10.54,3.42,13.88,1.59,3.79,6.67,1.68,15.25,11.68,14.32,11.77,4.67,13.42,17.69,20.1,19.34,9.91,15.67,3.82
IQCF1,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.13,0.08,0.0,0.02,0.0,0.0,0.0,0.14
IQCF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQCF3,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQCF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQCF6,0.0,0.0,0.1,0.0,0.0,0.07,0.0,0.0,0.1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQCG,5.19,2.06,3.59,7.62,23.47,10.24,5.75,2.28,14.23,1.73,1.1,1.59,1.72,1.76,4.63,5.65,2.62,46.95,5.5,3.88,2.05,4.93,1.37,4.0,6.54
