,T24,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
ASF1A,12.14,11.01,4.52,23.56,21.84,9.52,46.57,26.91,21.81,15.42,35.81,20.72,18.23,28.02,18.61,19.03,3.2,11.71,7.4,13.73,15.27,10.98,9.75,9.63,17.26
ASF1B,93.61,34.44,32.59,81.05,111.27,29.67,116.99,64.98,48.34,46.98,163.65,62.9,96.66,16.13,115.17,31.41,16.54,22.49,87.12,77.73,50.72,72.07,41.04,52.85,29.71
ASGR1,0.76,2.27,0.94,0.42,0.81,0.01,0.06,0.06,1.89,1.58,0.05,0.57,0.09,0.41,1.07,1.7,0.0,7.06,1.22,0.19,0.1,0.17,1.06,2.2,0.15
ASGR2,0.02,0.2,0.0,0.0,0.03,0.01,0.01,0.03,0.0,0.0,0.0,15.74,0.0,0.0,0.06,0.13,0.23,0.0,0.03,0.0,0.02,0.0,0.24,0.02,0.0
ASH1L,11.53,17.36,11.66,13.82,10.77,11.71,12.42,8.01,10.52,11.19,9.04,6.89,15.52,11.32,7.63,6.64,5.53,7.69,6.59,10.87,14.45,25.92,9.03,12.49,8.69
ASH2L,30.83,15.68,17.28,48.98,33.61,26.54,29.55,23.69,45.33,65.96,39.69,30.34,52.64,22.49,27.43,17.41,16.33,12.11,43.64,9.24,14.08,88.5,18.8,26.44,16.18
ASIC1,2.67,2.67,2.02,6.81,2.33,0.51,1.09,0.04,8.23,0.26,0.73,20.36,0.06,32.59,7.88,8.17,5.99,10.89,5.78,6.26,7.94,8.85,5.96,10.19,7.79
ASIC2,0.0,12.14,0.08,0.01,0.03,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.01,0.01,0.0
ASIC3,0.69,2.93,0.95,3.18,10.52,1.01,7.5,0.95,3.52,1.67,2.51,0.29,1.35,4.97,1.47,2.31,2.05,1.96,0.09,3.45,0.26,0.98,4.26,2.46,5.13
ASIC4,0.01,0.1,0.15,0.13,0.59,0.03,0.01,0.05,0.27,15.33,0.06,0.01,0.05,0.21,0.1,0.0,0.0,0.0,0.05,0.13,0.01,0.19,0.03,0.05,0.09
ASIC5,0.0,0.17,0.03,0.01,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.05,0.02,0.02,0.0,0.0,0.0,0.0
ASIP,0.17,0.21,0.31,1.43,0.11,0.04,0.31,0.27,0.3,0.09,0.06,0.14,0.38,1.0,0.25,0.0,0.0,0.3,0.0,0.36,0.0,0.0,0.0,0.07,0.36
ASL,29.83,17.85,34.22,42.07,54.49,44.8,10.13,4.27,37.29,30.16,34.56,17.42,12.74,22.78,28.91,43.42,23.15,19.22,69.12,28.69,69.46,30.51,37.91,67.04,34.54
ASMT,0.0,0.025,0.01,0.01,0.0,1.175,0.005,0.535,0.0,0.0,0.02,0.035,0.31,0.0,0.0,0.0,0.01,0.015,0.015,0.01,0.0,0.0,0.02,0.01,0.01
ASMTL,6.56,16.71,6.285,9.84,6.54,18.585,39.0,16.425,10.415,12.46,10.32,8.93,4.535,17.195,8.05,7.615,5.675,7.515,5.58,6.5,3.65,3.875,6.55,16.14,4.585
ASNA1,101.44,51.02,47.8,104.43,133.38,73.51,80.85,67.34,102.89,44.45,61.8,78.15,33.09,46.47,67.53,51.92,34.89,96.11,173.69,110.09,73.86,83.71,59.61,38.04,64.65
ASNS,14.63,139.11,67.16,87.49,35.76,68.24,65.98,107.77,139.59,67.42,141.63,38.86,78.75,1012.6,27.81,29.18,85.08,21.41,37.48,34.81,49.81,69.1,63.38,36.57,341.53
ASNSD1,36.09,23.86,9.12,34.31,39.86,21.47,36.26,24.65,30.63,35.31,45.96,48.19,37.1,54.1,28.4,21.42,16.98,69.71,26.54,36.65,23.71,26.41,30.72,30.79,43.3
ASPA,0.0,0.0,0.03,1.39,0.36,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.02,0.28,0.0,0.0
ASPDH,0.25,0.87,0.0,0.31,0.11,0.47,0.29,0.77,0.12,0.26,0.52,0.0,0.45,0.0,1.13,0.1,0.33,0.44,0.0,0.72,0.46,1.95,0.33,0.28,1.24
ASPG,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.37,0.02,0.0,0.1
ASPH,338.23,223.86,209.92,275.86,337.77,10.29,4.78,22.89,375.88,35.22,21.42,19.4,5.72,77.06,54.52,124.31,36.47,104.15,249.53,88.41,53.03,134.68,89.87,57.89,155.96
ASPHD1,11.28,70.36,6.93,5.52,7.92,0.15,2.97,0.35,19.09,0.3,0.91,0.38,0.14,9.65,3.05,3.83,12.83,18.44,11.58,29.77,13.5,27.88,2.09,16.7,8.39
ASPHD2,2.48,0.19,2.77,3.09,2.57,7.17,3.31,5.48,2.68,0.22,0.65,0.38,1.18,2.05,0.19,0.09,0.09,1.69,1.81,0.3,0.2,0.7,0.05,1.29,1.1
ASPM,41.84,7.96,17.44,27.92,17.43,7.59,31.68,20.85,24.11,26.32,21.48,15.54,77.34,15.76,17.45,11.99,8.32,11.47,11.51,22.29,23.2,54.1,10.01,18.99,24.59
ASPN,0.0,0.01,0.0,2.4,0.0,0.01,0.02,0.03,0.5,0.0,0.04,0.0,0.09,0.06,0.05,0.04,0.01,0.15,0.01,0.0,0.01,0.0,0.02,0.03,0.06
ASPRV1,0.18,1.35,0.66,0.41,0.34,0.22,0.13,0.09,0.11,2.18,0.07,1.32,1.02,1.37,3.21,0.83,0.14,0.19,0.03,0.26,0.33,0.9,0.66,0.14,0.27
ASPSCR1,21.6,34.78,29.61,24.52,49.98,25.88,30.43,24.64,23.42,27.46,34.27,23.99,35.38,34.11,650.67,24.99,18.75,21.18,28.42,47.5,22.34,35.03,37.04,26.84,21.39
ASRGL1,19.38,53.63,0.15,12.78,5.48,7.02,41.53,1.26,2.23,16.13,42.71,13.79,0.01,5.49,25.06,19.69,1.55,2.65,0.25,11.18,24.92,8.78,3.11,11.43,3.2
ASS1,5.11,160.82,121.01,114.22,3.15,8.42,0.53,0.74,125.5,0.65,0.32,317.52,1.15,284.07,45.14,169.18,509.85,9.91,0.46,99.44,338.15,123.44,231.11,114.2,147.32
ASTE1,6.77,2.83,4.3,6.46,3.51,3.28,5.9,4.2,2.96,3.6,3.68,4.23,5.76,3.27,3.85,9.95,3.0,3.26,4.8,4.8,4.44,3.51,3.81,4.17,3.96
ASTL,0.0,0.06,0.0,0.05,0.03,1.93,0.08,0.07,0.04,0.05,0.11,0.37,0.01,0.25,0.1,0.38,0.0,0.0,0.0,0.02,0.02,0.19,0.21,0.86,0.05
ASTN1,0.01,3.84,0.01,2.03,0.03,0.01,0.0,0.0,0.6,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,9.69,0.0,0.0,0.02,0.0,0.0,0.01
ASTN2,1.09,12.77,0.4,7.42,2.58,5.12,1.63,2.71,3.49,0.46,1.93,0.03,0.26,5.79,3.0,0.64,0.68,1.46,7.91,1.36,0.85,4.46,2.22,4.81,3.97
ASUN,27.67,307.75,25.75,21.77,26.16,21.28,39.47,38.13,28.96,29.63,79.5,96.39,61.01,42.43,66.94,45.6,21.39,49.98,10.59,20.78,41.84,38.17,16.03,23.84,26.47
ASXL1,89.83,31.61,137.11,48.36,29.15,48.96,61.03,43.09,39.65,45.36,44.35,35.6,102.02,61.61,44.66,33.93,29.32,52.39,41.22,64.96,33.41,57.17,33.14,32.75,41.68
ASXL2,10.81,13.18,9.18,13.08,6.45,5.53,6.49,6.2,11.73,14.64,6.96,9.77,15.14,10.54,8.52,7.9,8.01,3.9,7.29,11.56,8.95,15.12,6.89,9.47,5.26
ASXL3,0.0,1.32,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.11,0.02,0.0,0.02,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.04,0.04,0.0
ASZ1,0.0,0.0,0.0,0.0,0.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
ATAD1,23.5,17.56,62.2,25.93,15.86,25.89,38.26,17.28,33.47,26.81,34.7,37.25,33.35,56.41,37.65,29.62,23.09,19.62,14.21,22.54,33.64,55.76,26.11,17.62,32.97
ATAD2,48.1,12.22,23.63,39.01,30.7,13.24,46.0,35.27,32.31,24.28,39.59,23.56,49.3,30.99,31.94,40.63,14.02,53.0,13.37,44.98,28.11,49.51,18.11,29.09,28.67
ATAD2B,2.65,7.64,4.67,4.07,3.15,7.71,15.39,5.1,4.32,10.1,5.12,7.26,12.05,6.19,5.48,8.33,5.86,3.74,1.02,4.75,5.59,8.83,3.9,5.98,5.37
ATAD3A,80.14,40.65,32.59,44.17,54.59,21.42,75.84,60.42,34.04,71.39,80.05,84.76,47.73,34.35,67.85,57.1,21.05,39.39,53.05,32.52,38.24,60.31,17.14,20.89,34.27
ATAD3B,48.6,35.08,48.25,25.39,22.59,29.28,67.29,30.3,21.48,60.31,52.71,53.31,32.58,47.14,53.8,43.15,12.49,81.14,28.85,29.03,40.83,92.6,10.42,11.31,37.86
ATAD3C,0.69,22.08,4.19,0.16,0.13,0.92,1.62,0.0,0.17,0.78,4.23,0.01,0.02,4.23,0.83,0.0,0.05,0.02,0.08,0.03,0.03,1.56,0.12,0.01,0.06
ATAD5,6.14,1.54,11.76,3.91,5.6,2.99,10.01,11.07,3.65,7.77,4.27,10.12,19.09,7.49,4.79,3.56,3.14,6.17,1.57,4.9,4.72,11.29,1.33,3.89,7.89
ATAT1,2.74,9.59,17.27,9.19,4.79,5.75,11.65,6.31,8.91,7.39,6.78,8.39,17.71,13.71,9.17,7.96,6.9,4.26,7.98,8.22,6.61,12.65,2.96,8.66,7.5
ATCAY,0.0,1.04,0.04,0.23,0.13,0.05,0.0,0.0,0.35,0.03,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.04
ATE1,12.47,16.87,6.26,10.02,6.0,12.52,35.94,17.75,13.14,13.91,19.92,13.76,16.54,19.23,13.75,19.78,11.82,9.87,3.62,10.76,14.72,20.14,10.8,15.45,13.33
ATF1,38.53,16.54,11.57,26.29,23.0,14.96,29.55,21.97,33.21,34.99,24.19,37.04,64.18,20.37,43.98,21.18,12.65,30.12,10.15,23.3,30.75,28.31,24.12,24.55,24.95
ATF2,19.45,21.69,9.97,20.31,13.0,18.25,20.83,14.0,24.58,25.17,16.04,24.83,20.63,15.52,16.44,11.89,6.93,11.68,15.55,17.12,8.38,11.9,12.84,18.6,21.56
ATF3,4.31,12.6,27.31,30.14,10.45,56.33,0.11,3.52,9.76,16.53,1.75,4.67,2.08,33.43,2.69,18.55,29.69,0.94,12.73,3.91,18.88,12.2,7.38,19.04,48.04
ATF4,413.68,441.72,388.52,402.53,292.66,390.07,397.88,539.29,534.4,681.66,541.91,467.29,483.9,859.01,442.71,240.05,243.22,345.63,339.82,258.81,216.88,252.05,299.87,268.97,1025.7
ATF5,29.29,22.22,5.45,50.36,47.0,51.71,40.33,443.43,185.7,40.53,51.33,22.43,102.6,170.88,17.39,15.0,8.65,24.57,55.01,87.36,12.08,43.52,20.46,3.71,29.37
ATF6,10.56,14.66,11.38,19.44,17.94,8.88,8.44,9.39,17.49,20.55,7.8,7.6,12.01,28.51,4.98,4.8,5.02,7.84,9.4,9.48,9.73,11.57,11.49,7.36,8.18
ATF6B,61.28,47.67,122.61,99.2,46.53,68.71,100.93,55.89,54.41,90.43,57.49,41.85,99.64,48.54,45.38,40.01,37.77,34.93,45.26,63.86,50.42,44.92,28.45,56.54,16.83
ATF7,18.7,10.99,9.41,14.63,12.41,10.47,15.19,16.29,15.96,15.44,18.6,15.36,46.86,20.91,23.98,10.67,6.63,14.92,16.25,13.27,18.32,17.24,11.77,18.18,26.68
ATF7IP,22.6,7.41,38.61,16.39,12.63,17.56,20.0,18.91,21.52,18.07,29.0,10.68,17.28,11.08,16.02,9.38,12.04,7.47,7.36,17.77,22.65,26.93,8.03,13.38,10.14
ATF7IP2,8.11,0.1,15.6,0.17,0.02,19.31,18.75,14.78,0.02,41.04,29.83,12.09,29.45,6.21,21.15,6.02,5.97,22.58,0.07,3.31,9.96,14.75,14.12,10.34,17.9
ATG10,6.64,2.84,5.41,4.92,6.82,5.1,3.52,4.07,8.52,5.33,4.53,3.81,12.82,5.63,6.96,4.3,5.07,6.13,4.14,3.1,2.92,14.32,5.65,2.5,6.05
ATG12,54.29,27.82,238.47,51.33,60.05,34.09,38.28,46.89,52.38,24.37,40.05,27.3,37.81,27.92,26.69,42.17,45.94,42.28,30.74,27.99,38.44,77.5,26.88,25.59,45.98
ATG13,49.24,36.35,55.68,35.75,26.87,31.76,44.81,27.81,40.11,30.9,28.89,39.65,30.6,45.19,43.1,29.97,21.71,16.32,60.41,51.55,28.19,32.24,25.27,29.08,23.97
ATG14,5.31,2.39,13.6,7.23,3.3,4.68,5.04,2.91,8.95,4.05,3.08,6.58,3.8,11.39,4.98,7.0,6.81,7.21,4.28,6.94,5.89,10.66,4.21,4.19,5.86
